,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
127,Santiago Arzamendia\759d8dd7,py PAR,MFDF,Cádiz,es La Liga,23,1998,5.2,21,32.7,64.1,346.3,99.2,9.81,12.1,81,8.27,11.2,74.1,1.73,7.12,24.3,0,0,0,0.19,0.77,0.77,0.58,0.96,Matches
128,Takuma Asano\13ddc856,jp JPN,FWMF,Bochum,de Bundesliga,26,1994,17.9,14.7,21.1,69.6,217.9,69.2,7.32,9.61,76.2,5.7,7.54,75.6,0.78,1.68,46.7,0.22,0.13,0.09,1.01,1.17,0.73,0.34,1.9,Matches
129,Santiago Ascacíbar\e26fcca3,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26.4,37,44.8,82.7,633.6,176,18,21.3,84.8,14.5,16.4,88,3.6,4.96,72.5,0.04,0.01,0.03,0.38,2.61,0.23,0,2.84,Matches
130,Sergio Asenjo\9f0ea33f,es ESP,GK,Villarreal,es La Liga,32,1989,6,30.5,37,82.4,819.8,450,5.67,5.67,100,14.8,15,98.9,10,16.2,61.9,0,0,0,0,0.17,0,0,0,Matches
131,Alejandro Asensio\b4c23f36,es ESP,FW,Rayo Vallecano,es La Liga,20,2000,0.1,70,80,87.5,1720,510,30,40,75,20,20,100,20,20,100,0,0,0,10,10,10,10,0,Matches
132,Marco Asensio\45af8a54,es ESP,FWMF,Real Madrid,es La Liga,25,1996,19.2,38.5,47.1,81.9,658.4,124.6,20.4,22.8,89.3,12.7,14.3,88.4,4.43,7.6,58.2,0,0.12,-0.12,1.56,2.6,1.04,0.16,2.81,Matches
133,Harrison Ashby\b391383a,sct SCO,DF,West Ham,eng Premier League,19,2001,0.1,70,80,87.5,1420,180,20,20,100,40,50,80,10,10,100,0,0,0,0,0,0,0,0,Matches
134,Kristoffer Askildsen\a69cc629,no NOR,MF,Sampdoria,it Serie A,20,2001,8.4,18.6,27.1,68.4,291.3,104.6,10,12.3,81.6,6.55,8.93,73.3,1.43,3.93,36.4,0,0.02,-0.02,0.24,1.55,0.24,0,2.62,Matches
135,Fisnik Asllani\35f67a30,xk KVX,MFFW,Hoffenheim,de Bundesliga,18,2002,0.1,60,80,75,890,130,40,40,100,10,10,100,10,20,50,0,0,0,0,0,0,0,0,Matches
136,Kristjan Asllani\0fdcef0e,al ALB,MF,Empoli,it Serie A,19,2002,15,41.1,49.7,82.7,886,230.5,13.9,15.5,89.3,18.9,20.9,90.7,7.93,12.4,64,0.07,0.07,-0.01,0.53,4.6,0.27,0.07,3.4,Matches
137,Iago Aspas\7dcf86f6,es ESP,FW,Celta Vigo,es La Liga,33,1987,34.3,28.5,39.6,71.9,449.8,84.1,16.3,19.8,82.2,7.99,11.2,71.5,2.77,5.25,52.8,0.15,0.18,-0.03,1.75,1.22,1.22,0.29,2.22,Matches
138,Lorenz Assignon\b026bbf6,tg TOG,DF,Rennes,fr Ligue 1,21,2000,6.8,45.7,56.9,80.4,815.9,200.4,20.3,23.7,85.7,19.7,22.5,87.6,4.41,7.65,57.7,0.29,0.15,0.15,1.03,2.35,0.74,0.29,3.09,Matches
139,Simon Asta\dfc85b89,de GER,DF,Greuther Fürth,de Bundesliga,20,2001,8.7,33,46.1,71.6,618,273.3,14.1,16.7,84.8,13.4,18.2,74.1,4.94,8.97,55.1,0,0.01,-0.01,0.23,1.72,0.57,0.23,2.53,Matches
140,Youcef Atal\6a827d8e,dz ALG,DF,Nice,fr Ligue 1,25,1996,12.7,44,57.4,76.7,733.4,263.6,23,25.1,91.5,16.2,20.2,80.2,4.33,9.29,46.6,0.08,0.12,-0.04,0.94,2.44,1.42,0.55,3.78,Matches
141,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,eng Premier League,32,1989,11.5,12.6,17.8,70.7,175.3,33.3,8.17,10.2,80.3,3.48,5.39,64.5,0.7,1.22,57.1,0.09,0.07,0.02,0.78,0.35,0.87,0.09,1.13,Matches
142,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Barcelona,es La Liga,32,1989,12,15.3,20.3,75.4,222.3,22.1,8.58,11.3,75.7,5.25,6.58,79.7,0.5,0.75,66.7,0.08,0.08,0,0.58,0.5,0.67,0,1,Matches
143,Emil Audero\649b01d8,it ITA,GK,Sampdoria,it Serie A,24,1997,28.4,24.4,35.2,69.4,825.2,526.2,3.63,3.63,100,9.08,9.3,97.7,11.7,22.2,52.5,0,0.01,-0.01,0.07,0.63,0,0,0,Matches
144,Tommaso Augello\3cd3b384,it ITA,DF,Sampdoria,it Serie A,26,1994,26.6,39.9,52,76.7,753.3,329.5,15.6,18.1,86.1,19.5,23.5,83,4.4,8.05,54.7,0.04,0.07,-0.03,0.68,2.22,1.24,0.49,4.47,Matches
145,Jean-Kévin Augustin\97bfa797,fr FRA,FWMF,Nantes,fr Ligue 1,24,1997,0.9,16.7,20,83.3,221.1,34.4,11.1,12.2,90.9,3.33,5.56,60,1.11,1.11,100,0,0,0,0,0,0,0,0,Matches
146,Ludwig Augustinsson\9fec8860,se SWE,DF,Sevilla,es La Liga,27,1994,8.8,51.4,63.6,80.7,906.1,297.6,24.3,26.1,93,20.7,23.3,88.8,5.68,12.2,46.7,0.11,0.07,0.05,1.14,2.39,0.91,0.45,1.82,Matches
147,Serge Aurier\5c2b4f07,ci CIV,DF,Villarreal,es La Liga,28,1992,11.2,56,65.5,85.4,1026.6,354,22.3,25.2,88.7,27,30.6,88,5.71,7.68,74.4,0.09,0.11,-0.02,0.63,3.21,1.34,0.63,4.46,Matches
148,Ezequiel Ávila\253a06b9,ar ARG,FWMF,Osasuna,es La Liga,27,1994,20.8,14.8,26.2,56.3,297,90,6.15,9.18,67,5.72,9.18,62.3,2.55,5.87,43.4,0.05,0.06,-0.01,0.82,1.44,1.15,0.82,2.16,Matches
149,Taiwo Awoniyi\e5478b87,ng NGA,FW,Union Berlin,de Bundesliga,23,1997,24.2,13.8,20,69,214.3,56.1,7.31,9.5,77,4.88,6.9,70.7,0.91,1.61,56.4,0.04,0.09,-0.05,0.99,1.24,0.87,0.12,1.98,Matches
150,Ramzi Aya\6a1f66a7,it ITA,DF,Salernitana,it Serie A,30,1990,1.5,12,18.7,64.3,257.3,102,3.33,4,83.3,6,9.33,64.3,2.67,5.33,50,0,0,0,0,1.33,0,0,2,Matches
151,Jordan Ayew\da052c14,gh GHA,FW,Crystal Palace,eng Premier League,29,1991,22.4,25.4,33.3,76.5,386.9,77.3,14.6,16.4,88.6,8.79,10.9,80.4,1.47,3.53,41.8,0.13,0.1,0.03,0.94,1.29,0.67,0.22,2.14,Matches
152,Kaan Ayhan\2200181e,tr TUR,DF,Sassuolo,it Serie A,26,1994,15,52.5,57.9,90.7,1146,415,17.3,18.1,95.6,24.5,26.1,93.9,10.3,13,79,0,0,0,0.13,4.2,0.13,0,5.07,Matches
153,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,eng Premier League,29,1991,25.2,48.3,61.8,78.2,1019.3,435.9,17.5,19.8,88,22,25.7,85.5,8.49,14.5,58.5,0.08,0.03,0.05,0.32,3.93,0.44,0.16,4.96,Matches
154,Karim Azamoum\eaf71a5e,fr FRA,DF,Troyes,fr Ligue 1,31,1990,4.3,25.1,33.7,74.5,501.2,196,8.84,10,88.4,12.3,15.1,81.5,3.72,7.91,47.1,0,0,0,0,0.47,0,0,0.7,Matches
155,Sardar Azmoun\10549b49,ir IRN,FWMF,Leverkusen,de Bundesliga,26,1995,4,20,28,71.4,316,86.8,10.8,13.3,81.1,7.25,10.5,69,1.75,2,87.5,0.25,0.15,0.1,1.5,2.75,0.75,0,3.75,Matches
156,César Azpilicueta\53cad200,es ESP,DF,Chelsea,eng Premier League,31,1989,23,62.7,74.5,84.2,1058.1,404.9,30.7,33.9,90.8,27.3,30.8,88.6,4.13,7.65,54,0.09,0.09,0,0.78,4.65,0.87,0.13,5.39,Matches
157,Iddrisu Baba\bfd381b3,gh GHA,MF,Mallorca,es La Liga,25,1996,21.5,29,36,80.4,595.5,176.8,9.91,11.8,83.9,13,15.1,86.4,5.44,7.53,72.2,0,0.01,-0.01,0.37,2.74,0.42,0.05,3.12,Matches
158,Carlos Bacca\09a9e921,co COL,FW,Granada,es La Liga,34,1986,5.7,12.5,19.1,65.1,199.5,47.9,5.96,7.89,75.6,4.39,7.19,61,1.23,2.11,58.3,0.18,0.09,0.09,0.88,1.23,0.7,0,1.58,Matches
159,Daniel Bachmann\1c0eea98,at AUT,GK,Watford,eng Premier League,27,1994,12,17.6,29.8,59.1,679.3,471.3,1.75,1.75,100,6.58,6.83,96.3,9.25,21.2,43.7,0,0,0,0,0.75,0,0,0,Matches
160,Loïc Bade\114bbdee,fr FRA,DF,Rennes,fr Ligue 1,21,2000,10.9,59.8,65,92.1,1410.2,376.9,13.7,14.5,94.3,31.3,33.4,93.7,14.7,16.9,87,0.09,0.01,0.08,0.09,3.67,0.18,0.09,2.94,Matches
161,Milan Badelj\e8c930bb,hr CRO,MF,Genoa,it Serie A,32,1989,31.6,39.9,50.7,78.8,779.2,246.8,15.2,17.8,85.3,18.7,22.1,84.5,5.38,8.86,60.7,0,0.07,-0.07,0.85,4.37,0.6,0.06,5.09,Matches
162,Édgar Badía\e4346678,es ESP,GK,Elche,es La Liga,29,1992,24,23.3,34.5,67.6,819,549.1,3.5,3.58,97.7,8.38,8.46,99,11.4,22.4,50.9,0,0,0,0,0.25,0,0,0,Matches
163,Benoît Badiashile\06df8256,fr FRA,DF,Monaco,fr Ligue 1,20,2001,20.4,59.1,66,89.5,1260.6,391.9,16.8,17.9,94,31.9,34.2,93.4,10,13.2,75.6,0,0.01,-0.01,0.05,3.82,0.15,0,4.61,Matches
164,Youssouph Badji\6a2b9aee,sn SEN,FW,Brest,fr Ligue 1,19,2001,1.5,17.3,25.3,68.4,182,34.7,12.7,16,79.2,2.67,6,44.4,0,0,,0,0.13,-0.13,1.33,2,0,0,0,Matches
165,Miguel Baeza\a98f3cbf,es ESP,DF,Celta Vigo,es La Liga,21,2000,0,4,5,80,68,10,2,2,100,2,2,100,0,1,0,0,0,0,0,0,0,0,0,Matches
166,Nicola Bagnolini\ad263695,it ITA,GK,Bologna,it Serie A,17,2004,0,0,4,0,0,0,0,0,,0,0,,0,4,0,0,0,0,0,0,0,0,0,Matches
167,Issa Bah\956a78ea,lu LUX,FW,Venezia,it Serie A,19,2002,0.1,50,60,83.3,810,150,20,20,100,30,40,75,0,0,,0,0,0,0,0,0,0,10,Matches
168,Stéphane Bahoken\5046b7d4,cm CMR,FW,Angers,fr Ligue 1,29,1992,12.2,13.8,18,76.4,190.3,26.5,7.87,10,78.7,3.28,3.93,83.3,1.15,1.64,70,0.08,0.08,0,0.66,0.57,0.33,0.25,0.25,Matches
169,Leon Bailey\3a233281,jm JAM,FWMF,Aston Villa,eng Premier League,23,1997,8.5,17.5,26.4,66.5,308.4,68.2,8.35,9.76,85.5,6.12,8.71,70.3,2.35,5.29,44.4,0.24,0.07,0.16,0.94,0.47,1.29,0.35,2.35,Matches
