,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1688,Javi Martínez\3672b352,es ESP,MF,Osasuna,es La Liga,21,1999,9.8,29.2,40.7,71.7,496.2,129.8,15.1,18.9,80,10.7,13.8,77.8,2.76,6.02,45.8,0.1,0.1,0,1.12,2.24,0.41,0.1,2.45,Matches
1689,Josep Martinez\11d8aff0,es ESP,GK,RB Leipzig,de Bundesliga,23,1998,1,19,22,86.4,543,419,1,1,100,12,12,100,6,9,66.7,0,0,0,0,1,0,0,0,Matches
1690,Lautaro Martínez\f7036e1c,ar ARG,FW,Inter,it Serie A,23,1997,25.4,15.7,20.9,74.8,231.9,49.6,9.06,10.9,83,4.21,5.94,70.9,1.3,1.97,66,0.12,0.14,-0.02,1.14,0.83,0.87,0.16,1.54,Matches
1691,Pablo Martínez\ecc77652,es ESP,MF,Levante,es La Liga,23,1998,7.3,24.8,35.6,69.6,456.2,149.3,11.2,13.2,85.4,9.73,12.6,77.2,3.01,7.26,41.5,0.14,0.18,-0.04,0.82,2.19,0.68,0.14,3.42,Matches
1692,Gelson Martins\3ef0fa48,pt POR,FWMF,Monaco,fr Ligue 1,26,1995,21.2,24.7,32.3,76.6,355.9,75,14.8,17.2,86,8.25,10.8,76.1,0.9,1.6,55.9,0.14,0.14,0,1.08,1.08,0.66,0.19,1.89,Matches
1693,Adam Marušić\d4535821,me MNE,DF,Lazio,it Serie A,28,1992,30.2,54.2,62.3,87.1,870.3,311.8,28.7,31.1,92.2,21.1,24,87.6,3.48,5.4,64.4,0,0.02,-0.02,0.26,3.38,0.3,0.13,2.32,Matches
1694,Omar Mascarell\11fd2b75,es ESP,MF,Elche,es La Liga,28,1993,27.7,37.7,43.5,86.6,759.5,169.5,13.9,14.9,93,16.7,18.2,91.5,6.32,8.7,72.6,0,0.01,-0.01,0.22,2.45,0.11,0,2.31,Matches
1695,Andrea Masiello\e0314d87,it ITA,DF,Genoa,it Serie A,35,1986,5.7,47.2,54.2,87.1,985.6,335.3,15.6,16.7,93.7,23,26,88.5,8.42,10.7,78.7,0,0,0,0.18,1.05,0,0,2.46,Matches
1696,Adam Masina\de0f152c,ma MAR,DF,Watford,eng Premier League,27,1994,12,31.7,45,70.4,669.3,303.7,9.17,10.7,85.9,16.2,20.4,79.2,5.83,12.8,45.5,0.08,0.06,0.02,0.67,2.25,0.58,0.42,2.67,Matches
1697,Erhan Mašović\a396fb61,rs SRB,DF,Bochum,de Bundesliga,22,1998,17.2,29.4,37.7,78,710.8,140.9,4.71,5.99,78.6,17.3,18.9,91.7,7.03,12,58.5,0,0,0,0,1.22,0.06,0,1.28,Matches
1698,Roberto Massimo\fc62fdf4,de GER,DFFW,Stuttgart,de Bundesliga,20,2000,9.7,23.2,30.9,75,374,94.5,11.2,13.5,83.2,9.28,10.5,88.2,1.65,3.81,43.2,0,0.11,-0.11,1.03,0.72,0.41,0.21,2.06,Matches
1699,Arthur Masuaku\57df7a11,cd COD,DFFW,West Ham,eng Premier League,27,1993,7.2,40.7,52.1,78.1,643.6,217.6,22.6,25.3,89.6,15.7,20.1,77.9,2.08,5.69,36.6,0.14,0.13,0.01,0.42,3.06,0.83,0.28,3.33,Matches
1700,Jaime Mata\02319ad7,es ESP,FW,Getafe,es La Liga,32,1988,7.5,18,27.1,66.5,251.9,50.1,10.3,14.3,72,5.47,7.73,70.7,0.93,1.87,50,0,0.05,-0.05,0.93,0.93,0.4,0,1.6,Matches
1701,Juan Mata\29733c72,es ESP,MF,Manchester Utd,eng Premier League,33,1988,2.6,70,81.2,86.3,1135,208.1,38.5,41.2,93.5,22.3,27.3,81.7,6.92,9.23,75,0,0.08,-0.08,0.77,6.92,1.54,0.77,3.46,Matches
1702,Pape Matar Sarr\feb5d972,sn SEN,MF,Metz,fr Ligue 1,18,2002,23.7,35.7,43,83.2,703,160.8,14.3,16.7,85.6,14.9,16.6,89.3,5.74,8.23,69.7,0.13,0.06,0.07,0.93,3.46,0.51,0,3.33,Matches
1703,Eliot Matazo\15944afd,be BEL,MF,Monaco,fr Ligue 1,19,2002,8.8,39.1,44.1,88.7,724.2,145.3,15.5,16.7,92.5,19,20.2,93.8,3.75,5.45,68.8,0,0.01,-0.01,0.45,3.98,0.57,0,3.98,Matches
1704,Aleš Matějů\deb748c9,cz CZE,DF,Venezia,it Serie A,25,1996,8.1,26.7,36.3,73.5,500.7,252.8,11.2,14,80.5,10.9,13.6,80,3.7,7.28,50.8,0.12,0.12,0,0.86,1.11,0.99,0.74,2.96,Matches
1705,Jean-Philippe Mateta\50e6dc35,fr FRA,FW,Crystal Palace,eng Premier League,24,1997,12.7,13.3,19.1,69.5,163.1,19.6,8.82,11.3,77.8,3.39,4.88,69.4,0.24,0.87,27.3,0.08,0.1,-0.02,0.55,0.31,0.24,0.08,0.31,Matches
1706,Nemanja Matić\eb7822d7,rs SRB,MF,Manchester Utd,eng Premier League,32,1988,15.4,57.2,65.6,87.2,1090.5,307.1,23.6,26.6,88.8,24.2,26.6,91,8.12,9.68,83.9,0.26,0.12,0.14,0.84,6.56,0.52,0.06,5.65,Matches
1707,Joël Matip\b217ef29,cm CMR,DF,Liverpool,eng Premier League,29,1991,31,65,72.2,90,1407.1,411.1,17,18.8,90.4,35.4,37.8,93.6,12.2,14.7,82.9,0.1,0.04,0.06,0.35,6.32,0.42,0,5.06,Matches
1708,Chrislain Matsima\cf1ef7ec,fr FRA,DF,Monaco,fr Ligue 1,19,2002,1.5,48.7,56,86.9,1056,369.3,12.7,14.7,86.4,28,32,87.5,8,8,100,0,0,0,0,3.33,0,0,2.67,Matches
1709,Azor Matusiwa\a17a94d6,nl NED,MF,Reims,fr Ligue 1,23,1998,27.4,36.4,43.1,84.4,729.1,170.7,14.5,16.7,86.9,14.9,16.6,89.9,6.35,8.32,76.3,0.04,0.03,0,0.58,3.36,0.33,0.04,3.07,Matches
1710,Neal Maupay\4bcf39f6,fr FRA,FW,Brighton,eng Premier League,24,1996,25.3,18.9,24.4,77.6,270.7,40.8,11.4,13.6,84.3,5.49,6.76,81.3,0.95,1.42,66.7,0.08,0.09,-0.01,0.91,0.63,1.03,0.08,1.38,Matches
1711,Stephy Mavididi\30144daa,eng ENG,FWMF,Montpellier,fr Ligue 1,23,1998,25.5,17.8,22.6,78.8,240.5,50.6,11.2,13.2,84.6,4.75,6.04,78.6,0.78,1.14,69,0.12,0.12,0,0.9,0.39,0.71,0.24,0.98,Matches
1712,Konstantinos Mavropanos\00963611,gr GRE,DF,Stuttgart,de Bundesliga,23,1997,30.1,49.2,60.8,80.9,1119.2,428.7,15,16.7,89.5,22.9,26.5,86.3,10.8,15.8,68.1,0,0,0,0.17,3.82,0.23,0.03,3.89,Matches
1713,Eric Maxim Choupo-Moting\0e6bc38c,cm CMR,FWMF,Bayern Munich,de Bundesliga,32,1989,4.2,24,32.9,73.2,341,76.2,14.8,17.9,82.7,8.1,11,73.9,0.48,1.19,40,0.48,0.17,0.31,0.95,1.67,0.48,0,1.9,Matches
1714,Luís Maximiano\3318286e,pt POR,GK,Granada,es La Liga,22,1999,33.8,19.1,34.7,55.2,717.6,513.7,2.25,2.25,100,7.01,7.07,99.2,9.79,25.3,38.7,0,0,0,0,0.92,0.03,0,0,Matches
1715,Borja Mayoral\64e8ed6d,es ESP,FW,Getafe,es La Liga,24,1997,11.6,16.7,21.7,77,253.9,45.8,10,11.8,84.7,3.88,5.52,70.3,1.9,2.33,81.5,0.09,0.09,-0.01,1.03,0.95,0.52,0.26,1.21,Matches
1716,Borja Mayoral\64e8ed6d,es ESP,FWDF,Roma,it Serie A,24,1997,1.1,26.4,35.5,74.4,402.7,46.4,15.5,18.2,85,7.27,8.18,88.9,1.82,4.55,40,0,0,0,0,0,0,0,0.91,Matches
1717,Derek Mazou-Sacko\810edef9,fr FRA,FWDF,Troyes,fr Ligue 1,16,2004,0,0,1,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
1718,Pasquale Mazzocchi\eb0ec070,it ITA,DF,Venezia,it Serie A,26,1995,13.8,32.2,42,76.6,586.8,214.1,14.1,15.9,88.2,13.5,16.7,80.5,3.91,7.54,51.9,0,0.06,-0.06,0.43,1.67,0.58,0.14,2.1,Matches
1719,Pasquale Mazzocchi\eb0ec070,it ITA,DF,Salernitana,it Serie A,26,1995,14.1,28.8,40.1,71.7,548.2,229.9,12.2,13.8,88.7,12.1,16.5,73,4.04,8.37,48.3,0.14,0.11,0.03,1.21,1.35,1.21,0.64,2.41,Matches
1720,Kevin Mbabu\493924a7,ch SUI,DF,Wolfsburg,de Bundesliga,26,1995,15.5,39.6,56.3,70.3,806.1,354.5,13.3,15.8,84.1,20.3,25.5,79.5,5.61,11.9,47,0,0.14,-0.14,1.35,3.16,1.29,0.58,4.84,Matches
1721,Kylian Mbappé\42fd9c7f,fr FRA,FW,Paris S-G,fr Ligue 1,22,1998,33.6,34.6,43.2,80.2,514.7,101.8,21.3,24.7,86.5,9.14,11.3,81,2.5,4.08,61.3,0.54,0.37,0.17,2.08,1.88,1.79,0.42,2.53,Matches
1722,Ibrahima Mbaye\cfbf9881,sn SEN,DF,Bologna,it Serie A,26,1994,1.2,29.2,40.8,71.4,403.3,246.7,16.7,20,83.3,10.8,14.2,76.5,0.83,5,16.7,0,0,0,0,2.5,0,0,2.5,Matches
1723,Amadou Mbengue\14d2670e,sn SEN,DFMF,Metz,fr Ligue 1,19,2002,6.8,36,42.6,84.5,776.6,275.3,11.6,12.5,92.9,19.1,20.9,91.5,5.15,8.53,60.3,0,0.01,-0.01,0.29,2.79,0.15,0.15,1.76,Matches
1724,Bryan Mbeumo\6afaebf2,fr FRA,FW,Brentford,eng Premier League,21,1999,32.3,16.8,25.2,66.8,275.9,57.8,9.35,11.8,79.3,5.08,7.59,66.9,1.8,3.65,49.2,0.22,0.11,0.11,1.11,0.77,0.8,0.15,1.52,Matches
1725,Jason Mbock\890bc029,fr FRA,FW,Angers,fr Ligue 1,21,1999,0.2,15,25,60,160,0,15,20,75,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
1726,Jordi Mboula\4887118d,es ESP,FW,Mallorca,es La Liga,22,1999,4.8,10.8,18.8,57.8,147.5,35,7.29,9.79,74.5,3.33,7.08,47.1,0,0.63,0,0,0.02,-0.02,0.42,0.83,0.21,0,0.83,Matches
1727,Moustapha Mbow\3f3a2cba,sn SEN,DF,Reims,fr Ligue 1,21,2000,1,22,27,81.5,534,176,8,9,88.9,7,10,70,6,7,85.7,0,0,0,0,0,0,0,0,Matches
1728,Nathanael Mbuku\46750e9c,fr FRA,FWMF,Reims,fr Ligue 1,19,2002,15.8,17,23.5,72.3,270.8,63.3,8.67,10.2,85.1,6.27,8.48,73.9,1.2,2.47,48.7,0.06,0.05,0.01,0.7,1.96,0.57,0.06,1.77,Matches
1729,James McArthur\cee31595,sct SCO,MF,Crystal Palace,eng Premier League,33,1987,16,48.3,57.9,83.3,898.6,194.1,19.1,21.8,87.6,21.8,23.9,90.9,5.94,9.38,63.3,0.19,0.06,0.13,0.94,3.75,1.06,0.44,4.06,Matches
1730,James Mcatee\96593e89,eng ENG,MFFW,Manchester City,eng Premier League,18,2002,0.2,45,65,69.2,725,25,20,30,66.7,25,30,83.3,0,5,0,0,0,0,0,0,0,0,0,Matches
1731,Kasey McAteer\b2c66859,eng ENG,FW,Leicester City,eng Premier League,19,2001,0,1,1,100,8,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
1732,Liam McCarron\076bb352,sct SCO,FW,Leeds United,eng Premier League,20,2001,0.1,20,20,100,530,0,0,0,,10,10,100,10,10,100,0,0,0,0,0,0,0,0,Matches
1733,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,eng Premier League,31,1989,17,18.5,30,61.8,565.6,365.6,3.35,3.35,100,8.47,8.59,98.6,6.41,17.7,36.2,0,0,0,0.06,0.47,0,0,0,Matches
1734,John McGinn\90f91999,sct SCO,MF,Aston Villa,eng Premier League,26,1994,34.3,29.3,39,75,660.6,252.9,10.4,12.2,85.4,12.2,14.9,82,6.5,11.1,58.7,0.12,0.14,-0.03,1.55,4.99,1.43,0.47,4.84,Matches
1735,Weston McKennie\01c3aff5,us USA,MF,Juventus,it Serie A,22,1998,15.2,29.1,38,76.8,496.6,131.4,15.3,18.7,81.7,10.3,13.4,77,2.83,3.75,75.4,0,0.08,-0.08,1.18,2.37,0.86,0.13,2.5,Matches
1736,Stuart McKinstry\1000a059,sct SCO,MF,Leeds United,eng Premier League,18,2002,0,3,4,75,31,2,1,1,100,1,1,100,0,1,0,0,0,0,0,0,0,0,0,Matches
1737,Kenny McLean\471f16b3,sct SCO,MF,Norwich City,eng Premier League,29,1992,30.1,26,35.2,73.8,476.3,145.8,12,14.3,83.9,10.3,13.2,78,3.36,6.15,54.6,0,0.02,-0.02,0.27,2.36,0.66,0.03,2.76,Matches
1738,Dwight McNeil\fc15fb84,eng ENG,MF,Burnley,eng Premier League,21,1999,34.5,23.1,33.3,69.4,457.3,136.3,10,11.7,85.4,8.38,10.6,79.2,4.12,8.67,47.5,0.03,0.14,-0.11,1.36,1.86,1.39,0.75,2.06,Matches
1739,Scott McTominay\d93c2511,sct SCO,MF,Manchester Utd,eng Premier League,24,1996,26.5,40,47,85,767.4,195.3,16.1,18.7,86.3,17.4,19.5,89,5.7,7.06,80.7,0.04,0.07,-0.03,0.72,3.89,0.34,0.04,3.74,Matches
1740,Gary Medel\563a68ad,cl CHI,DF,Bologna,it Serie A,33,1987,31.4,47,52.5,89.6,1065.7,359.9,12.6,13.2,95.2,23.1,24.2,95.3,10.9,14.2,76.7,0.03,0,0.03,0.03,2.01,0.13,0.03,1.88,Matches
1741,Facundo Medina\6f5ec8bb,ar ARG,DF,Lens,fr Ligue 1,22,1999,28.8,70.7,78.4,90.1,1358,527.3,28.1,29.7,94.6,32.2,34.5,93.4,9.38,12.3,76.3,0,0.01,-0.01,0.17,5.94,0.17,0,5.73,Matches
1742,Nathan de Medina\d686dbc0,be BEL,DF,Arminia,de Bundesliga,23,1997,8.6,26.7,37.3,71.7,518.4,194,9.88,10.7,92.4,13.7,17.4,78.7,2.91,7.21,40.3,0,0,0,0,1.05,0.12,0.12,1.16,Matches
1743,Ben Mee\8df7a2fb,eng ENG,DF,Burnley,eng Premier League,31,1989,20.4,26.4,36,73.4,654.4,248.3,6.86,7.84,87.5,12,14.5,83.1,7.25,12.7,57.1,0,0,0,0.1,2.65,0.15,0.05,2.3,Matches
1744,Admir Mehmedi\b500b384,ch SUI,MF,Wolfsburg,de Bundesliga,30,1991,0,4,6,66.7,62,20,2,3,66.7,2,2,100,0,0,,0,0,0,0,1,0,0,1,Matches
1745,Hannibal Mejbri\ca22ccb0,tn TUN,FW,Manchester Utd,eng Premier League,18,2003,0.8,21.3,26.3,81,282.5,15,11.3,15,75,8.75,8.75,100,0,1.25,0,0,0,0,0,1.25,0,0,0,Matches
1746,Farid El Melali\d21e361a,dz ALG,FW,Angers,fr Ligue 1,24,1997,0.2,10,25,40,180,0,5,5,100,5,5,100,0,5,0,0,0,0,0,0,0,0,0,Matches
1747,Filippo Melegoni\6604165d,it ITA,FWMF,Genoa,it Serie A,22,1999,10.9,22.6,32.5,69.5,354.3,120.2,12.4,14.6,84.9,7.25,10,72.5,2.02,4.68,43.1,0,0.14,-0.14,1.47,0.92,1.19,0.46,3.03,Matches
1748,Óscar Melendo\379652be,es ESP,MFFW,Espanyol,es La Liga,23,1997,11,36,40.5,88.8,609.7,149.4,17.6,18.6,94.6,13.7,15.5,88.3,3.55,4.64,76.5,0,0.1,-0.1,1.55,4.64,1.27,0.09,3.18,Matches
1749,Gonzalo Melero\3902e91b,es ESP,MF,Levante,es La Liga,27,1994,18.8,35.6,41.8,85.1,606.6,120.3,17.2,19.6,87.8,14,15.7,89.2,3.4,4.47,76.2,0.11,0.05,0.06,0.74,2.77,0.32,0,3.19,Matches
1750,Birger Meling\70c52749,no NOR,DF,Rennes,fr Ligue 1,26,1994,20.3,48.1,55.7,86.4,885.4,275.4,21,23.1,91,20.7,23.5,88.1,5.71,7.04,81.1,0.2,0.07,0.12,0.74,2.17,0.84,0.25,4.68,Matches
1751,Arthur Melo\48b3dd60,br BRA,MF,Juventus,it Serie A,24,1996,10.7,59.1,65.5,90.2,1222.1,269.7,20.8,22.8,91.4,27.1,29.1,93.2,10.3,11.5,89.4,0,0.04,-0.04,0.56,5.7,0.37,0,3.74,Matches
1752,Houboulang Mendes\1545cf15,fr FRA,DF,Lorient,fr Ligue 1,23,1998,35.8,33.5,40.5,82.6,624.2,203.2,13.7,14.9,92.5,15.1,17.3,86.8,4.11,6.98,58.8,0.03,0.04,-0.01,0.36,1.37,0.28,0.22,1.96,Matches
1753,Nuno Mendes\f20e4cc9,pt POR,DF,Paris S-G,fr Ligue 1,19,2002,18.4,53.9,61.6,87.6,868.8,221.5,29,31.5,92.1,19.7,22.2,88.7,4.24,5.6,75.7,0.05,0.13,-0.07,0.92,3.04,0.65,0.27,2.66,Matches
1754,Pedro Mendes\6690ef25,pt POR,DF,Montpellier,fr Ligue 1,30,1990,0.2,25,40,62.5,765,315,0,0,,20,20,100,5,20,25,0,0,0,5,5,5,0,10,Matches
1755,Thiago Mendes\c6e5d20f,br BRA,MFDF,Lyon,fr Ligue 1,29,1992,20.7,66.5,75.4,88.2,1373.7,384.5,23.5,25.4,92.4,29.6,31.4,94.2,12,16.4,73.2,0.05,0.07,-0.02,0.72,5.8,0.48,0,5.02,Matches
1756,Tomás Mendes\45f771db,es ESP,MF,Alavés,es La Liga,16,2004,0.1,40,50,80,1080,0,10,20,50,10,10,100,20,20,100,0,0,0,0,0,0,0,0,Matches
1757,Brais Méndez\c9e39d91,es ESP,MF,Celta Vigo,es La Liga,24,1997,33.6,35.8,45.2,79.3,593.3,156.5,19,22,86.4,11.6,14.1,82.5,3.66,5.77,63.4,0.15,0.11,0.04,1.04,3.81,1.19,0.27,3.87,Matches
1758,Édgar Méndez\aed746df,es ESP,FWMF,Alavés,es La Liga,31,1990,17.9,14.7,24.1,61.1,270.3,80.4,7.71,10.7,72.3,4.86,7.37,65.9,2.01,4.13,48.6,0.06,0.1,-0.04,1.06,0.61,1.12,0.84,1.62,Matches
1759,Arial Mendy\9f0f4b49,sn SEN,DFFW,Clermont Foot,fr Ligue 1,26,1994,8.8,36.5,46.5,78.5,612,204.2,20.8,23.5,88.4,11.4,14.5,78.1,3.98,6.7,59.3,0,0.18,-0.18,1.02,1.48,1.02,0.57,3.07,Matches
1760,Batista Mendy\e472a6f6,fr FRA,MFDF,Angers,fr Ligue 1,21,2000,26.8,40.3,46.5,86.7,804.5,223.9,13.7,15.4,89.1,20.1,21.9,92,5.71,7.95,71.8,0.04,0.02,0.01,0.26,2.87,0.37,0.07,3.25,Matches
1761,Benjamin Mendy\5271c8f1,fr FRA,DF,Manchester City,eng Premier League,27,1994,0.9,81.1,96.7,83.9,1505.6,502.2,28.9,33.3,86.7,42.2,42.2,100,8.89,15.6,57.1,0,0.33,-0.33,2.22,6.67,1.11,1.11,8.89,Matches
1762,Edouard Mendy\33887998,sn SEN,GK,Chelsea,eng Premier League,29,1992,34,23,27.6,83.2,549.9,309.6,6.62,6.68,99.1,10,10.2,98,5.74,10.1,56.9,0,0,0,0,0.06,0,0,0,Matches
1763,Ferland Mendy\3cefcaef,fr FRA,DF,Real Madrid,es La Liga,26,1995,19.3,64.6,70.5,91.6,985.2,293.6,37.4,39.4,95,21.1,22.8,92.5,4.4,5.34,82.5,0.05,0.07,-0.02,1.04,3.94,0.88,0.26,3.78,Matches
1764,Nampalys Mendy\1598599e,sn SEN,MF,Leicester City,eng Premier League,29,1992,11.5,52.3,56.5,92.6,953,133,22.2,23.1,95.9,23.7,25.3,93.8,5.39,6.43,83.8,0,0,0,0.09,2.87,0.09,0,1.83,Matches
1765,Gideon Mensah\9bdd8118,gh GHA,DF,Bordeaux,fr Ligue 1,23,1998,13.4,48.4,59.3,81.5,840.1,275.1,22.5,25.2,89.3,21.5,25,86,3.43,6.72,51.1,0.15,0.13,0.02,1.27,2.76,1.27,0.82,3.43,Matches
1766,Jorge Meré\9f979eb2,es ESP,DF,Köln,de Bundesliga,24,1997,5.4,48.1,55.6,86.7,1216.1,358.1,7.78,9.44,82.4,26.1,28,93.4,13.7,17.2,79.6,0,0,0,0.19,4.63,0.19,0,4.81,Matches
1767,Alex Meret\9413b19f,it ITA,GK,Napoli,it Serie A,24,1997,6.9,24.9,28,89.1,608.1,329.6,6.67,6.67,100,9.71,9.86,98.5,8.26,11,75,0,0,0,0,0,0,0,0,Matches
1768,Fran Mérida\0e50f929,es ESP,MF,Espanyol,es La Liga,31,1990,3,40,59,67.8,831.3,254.7,16,20,80,15,19,78.9,8.33,18.3,45.5,0,0.03,-0.03,1.33,8.33,0.67,0,5,Matches
1769,Mikel Merino\d080ed5e,es ESP,MF,Real Sociedad,es La Liga,25,1996,32.1,42.6,54.8,77.7,753.9,247.2,20.2,23.8,84.8,16.5,20,82.4,4.95,8.38,59.1,0.06,0.11,-0.05,0.84,4.89,1.21,0.12,5.58,Matches
1770,Quentin Merlin\0bfca6a1,fr FRA,DF,Nantes,fr Ligue 1,19,2002,21.4,48.3,63.4,76.2,921.3,400.9,21.6,24.5,88.4,19.1,23.1,82.4,7.15,13.6,52.8,0.14,0.13,0.01,1.45,4.86,1.26,0.61,5.89,Matches
1771,Martín Merquelanz\ddd5348b,es ESP,FW,Rayo Vallecano,es La Liga,26,1995,1.9,25.8,36.3,71,469.5,153.7,11.1,14.2,77.8,11.6,12.6,91.7,2.63,6.32,41.7,0,0.37,-0.37,3.16,1.05,3.16,1.05,3.68,Matches
1772,Yıldırım Mert Çetin\c730da00,tr TUR,DF,Hellas Verona,it Serie A,24,1997,0.5,50,66,75.8,996,550,18,22,81.8,28,34,82.4,4,6,66.7,0,0,0,0,6,0,0,6,Matches
1773,Dries Mertens\89b2c8a9,be BEL,FWMF,Napoli,it Serie A,34,1987,15.4,26.9,35.9,74.9,453,108,14.1,17.1,82.2,9.29,11.6,80.3,2.79,5.19,53.8,0.06,0.16,-0.09,2.08,2.47,1.17,0.19,3.38,Matches
1774,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,eng Premier League,21,2000,37.6,26.8,36.6,73.2,677.4,331.9,6.01,6.04,99.6,13.5,13.6,98.8,7.18,16.8,42.9,0,0,0,0,0.05,0,0,0,Matches
1775,Lionel Messi\d70ce98e,ar ARG,FWMF,Paris S-G,fr Ligue 1,34,1987,23.9,59.1,69.7,84.9,1011.7,319.9,30.9,34.6,89.5,20.2,22.7,88.8,6.74,9.16,73.5,0.59,0.33,0.25,2.64,8.08,3.77,0.21,10.2,Matches
1776,Junior Messias\f49c4ae9,br BRA,FWMF,Milan,it Serie A,30,1991,15.9,23.2,34.4,67.5,369.4,110.6,12.5,16.1,77.3,7.48,11.1,67.2,2.33,5.22,44.6,0.13,0.13,0,1.13,1.51,1.19,0.38,2.96,Matches
1777,Thomas Meunier\e162b013,be BEL,DF,Dortmund,de Bundesliga,29,1991,15.6,57.6,73.8,78,1054.9,419.3,24.4,27.6,88.4,26.4,32.8,80.5,5.83,10.8,54.2,0.26,0.17,0.09,0.9,3.59,1.54,0.83,6.73,Matches
1778,Mexer\ce492295,mz MOZ,DF,Bordeaux,fr Ligue 1,32,1988,13.6,42.6,50.2,84.8,1019.6,299.1,9.85,10.4,94.4,21.8,23.8,91.7,10.4,14.9,70,0,0,0,0,1.91,0.07,0,1.4,Matches
1779,Marco Meyerhöfer\0b104510,de GER,DF,Greuther Fürth,de Bundesliga,25,1995,25.3,35.3,47.4,74.6,608.8,282.5,17.2,19.2,89.5,13.6,18.1,75.5,3.68,7.35,50,0,0.03,-0.03,0.71,3.16,0.32,0.12,4.03,Matches
1780,Matt Miazga\9fc0f253,us USA,DF,Alavés,es La Liga,26,1995,9.3,25.4,32.4,78.4,625.7,211.3,6.02,7.42,81.2,12.4,13.8,89.8,6.88,11.1,62.1,0,0.01,-0.01,0.11,0.65,0,0,1.29,Matches
1781,Kingsley Michael\e63e122d,ng NGA,MF,Bologna,it Serie A,21,1999,0.8,30,35,85.7,532.5,86.3,16.3,17.5,92.9,6.25,8.75,71.4,6.25,7.5,83.3,0,0,0,0,3.75,0,0,2.5,Matches
1782,Sven Michel\1e274a0a,de GER,FW,Union Berlin,de Bundesliga,31,1990,3.8,21.8,32.6,66.9,321.1,65.8,11.3,14.2,79.6,5.26,9.74,54.1,2.89,4.21,68.8,0.26,0.47,-0.21,1.84,0.79,0.79,0.53,2.11,Matches
1783,Edouard Michut\fe6c1add,fr FRA,MF,Paris S-G,fr Ligue 1,18,2003,0.8,65,68.8,94.5,1040,218.8,35,36.3,96.6,23.8,23.8,100,6.25,6.25,100,1.25,0.13,1.13,1.25,3.75,0,0,0,Matches
1784,Miguel\6763373d,es ESP,FWMF,Alavés,es La Liga,21,1999,9.2,12.3,17.6,69.8,179.7,23.3,6.85,8.7,78.8,4.24,5.43,78,0.43,1.2,36.4,0.11,0.03,0.08,0.54,0.43,0.33,0.22,0.43,Matches
1785,Valentin Mihaila\81a4c239,ro ROU,FWMF,Atalanta,it Serie A,21,2000,0.8,22.5,43.8,51.4,297.5,45,15,20,75,7.5,12.5,60,0,3.75,0,0,0,0,0,0,0,0,0,Matches
1786,Mikael\33502726,br BRA,FWMF,Salernitana,it Serie A,22,1999,1,11,17,64.7,130,25,8,9,88.9,1,4,25,1,2,50,0,0,0,0,1,0,0,0,Matches
1787,Hilmir Mikaelsson\5add9b29,is ISL,FW,Venezia,it Serie A,17,2004,0.2,5,5,100,95,0,0,0,,5,5,100,0,0,,0,0,0,0,0,0,0,0,Matches
1788,Georges Mikautadze\4788cb6b,ge GEO,FW,Metz,fr Ligue 1,20,2000,0,0,1,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
1789,William Mikelbrencis\14df1d7f,fr FRA,DF,Metz,fr Ligue 1,17,2004,6.8,32.5,46.2,70.4,566.6,250.4,16.2,19.3,84,12.9,17.1,75.9,2.65,7.94,33.3,0.15,0.04,0.1,0.29,2.06,0.44,0,3.38,Matches
1790,Nikola Milenković\bee704fc,rs SRB,DF,Fiorentina,it Serie A,23,1997,32.5,57.9,64.5,89.8,1316.3,350.3,13.5,15.2,88.7,32.3,33.8,95.4,11.8,14.5,81.7,0,0,0,0.03,3.66,0.03,0,2.74,Matches
1791,Arkadiusz Milik\85613cf0,pl POL,FW,Marseille,fr Ligue 1,27,1994,15.7,19.7,24.4,80.7,294.5,33,10.9,12.9,84.7,5.86,6.94,84.4,1.27,1.59,80,0.13,0.18,-0.06,1.15,1.08,0.76,0,1.27,Matches
1792,Sergej Milinković-Savić\4e6dbac4,rs SRB,MF,Lazio,it Serie A,26,1995,34.4,56.3,68.8,81.9,955.5,235,28.5,32.4,88,19.9,23.6,84.4,6.02,9.27,64.9,0.29,0.17,0.12,1.54,4.8,1.54,0.32,4.94,Matches
1793,Vanja Milinković-Savić\9fa26bc2,rs SRB,GK,Torino,it Serie A,24,1997,27,19.9,38.2,52,800.9,555.5,1.63,1.7,95.7,7.89,8.07,97.7,10.3,28.4,36.4,0,0,0,0,2.19,0.04,0,0,Matches
