,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1685,Lucas Martínez Quarta\3ec3c1c9,ar ARG,DF,Fiorentina,it Serie A,25,1996,15.9,2.45,1.57,1.7,0.5,0.25,1.13,2.14,52.9,1.01,11.9,4.28,36,6.86,4.4,0.63,1.57,0.57,0,1.01,2.39,4.84,2.96,0,Matches
1686,Emiliano Martínez\7956236f,ar ARG,GK,Aston Villa,eng Premier League,28,1992,36,0,0,0,0,0,0,0.06,0,0.06,0.06,0,0,0.06,0,0,0,0,0,0,0.03,0.03,0.03,0.03,Matches
1687,Iñigo Martínez\3fc45c73,es ESP,DF,Athletic Club,es La Liga,30,1991,26,1.27,0.69,0.88,0.31,0.08,0.58,1.08,53.6,0.5,7.08,2.27,32.1,4.5,2.35,0.23,1.42,0.46,0,0.96,2.19,3.46,5.46,0,Matches
1688,Javi Martínez\3672b352,es ESP,MF,Osasuna,es La Liga,21,1999,9.8,2.45,1.43,1.02,0.92,0.51,0.92,2.86,32.1,1.94,21,4.9,23.3,5.2,10.1,5.71,1.22,0.2,0,1.02,1.73,4.18,0.92,0,Matches
1689,Josep Martinez\11d8aff0,es ESP,GK,RB Leipzig,de Bundesliga,23,1998,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1690,Lautaro Martínez\f7036e1c,ar ARG,FW,Inter,it Serie A,23,1997,25.4,0.98,0.71,0.12,0.47,0.39,0.24,0.59,40,0.35,14.9,4.09,27.4,0.94,5.67,8.31,0.98,0.16,0,0.83,0.87,1.85,0.28,0,Matches
1691,Pablo Martínez\ecc77652,es ESP,MF,Levante,es La Liga,23,1998,7.3,1.78,1.1,0.82,0.68,0.27,0.82,2.19,37.5,1.37,20.3,4.25,20.9,4.93,11.4,3.97,1.51,0.41,0,1.1,1.92,3.7,0.68,0,Matches
1692,Gelson Martins\3ef0fa48,pt POR,FWMF,Monaco,fr Ligue 1,26,1995,21.2,2.22,1.23,0.52,1.46,0.24,0.9,2.92,30.6,2.03,23.1,6.75,29.2,4.1,11.6,7.45,1.27,0.14,0,1.13,1.23,3.44,0.28,0,Matches
1693,Adam Marušić\d4535821,me MNE,DF,Lazio,it Serie A,28,1992,30.2,0.99,0.53,0.5,0.36,0.13,0.46,1.32,35,0.86,7.12,1.72,24.2,3.25,2.75,1.13,1.85,0.3,0,1.56,2.02,3.01,1.95,0,Matches
1694,Omar Mascarell\11fd2b75,es ESP,MF,Elche,es La Liga,28,1993,27.7,1.55,0.79,0.47,0.87,0.22,0.72,2.06,35.1,1.34,15.9,4.12,25.9,5.52,8.66,1.73,2.35,0.58,0,1.77,1.48,3.03,2.06,0.04,Matches
1695,Andrea Masiello\e0314d87,it ITA,DF,Genoa,it Serie A,35,1986,5.7,1.4,1.4,1.4,0,0,0.7,1.4,50,0.7,7.54,2.46,32.6,4.74,2.81,0,1.93,0.7,0,1.23,2.11,3.51,3.68,0,Matches
1696,Adam Masina\de0f152c,ma MAR,DF,Watford,eng Premier League,27,1994,12,2,1.17,0.92,1,0.08,0.83,2.5,33.3,1.67,13.5,3.75,27.8,6.08,5.83,1.58,2.42,0.5,0,1.92,2.58,4.58,3.42,0,Matches
1697,Erhan Mašović\a396fb61,rs SRB,DF,Bochum,de Bundesliga,22,1998,17.2,2.38,1.28,1.69,0.64,0.06,1.22,2.03,60,0.81,12.6,3.9,30.9,7.62,4.59,0.41,2.44,1.4,0.06,1.05,2.62,5,4.36,0.06,Matches
1698,Roberto Massimo\fc62fdf4,de GER,DFFW,Stuttgart,de Bundesliga,20,2000,9.7,1.24,1.13,0.72,0.41,0.1,0.52,1.55,33.3,1.03,19,4.95,26.1,5.98,7.53,5.46,1.13,0,0,1.13,1.24,2.47,0.62,0,Matches
1699,Arthur Masuaku\57df7a11,cd COD,DFFW,West Ham,eng Premier League,27,1993,7.2,4.58,2.64,2.78,1.53,0.28,1.67,3.19,52.2,1.53,16.7,5.42,32.5,8.47,6.94,1.25,1.39,0.14,0,1.25,2.5,7.08,2.22,0,Matches
1700,Jaime Mata\02319ad7,es ESP,FW,Getafe,es La Liga,32,1988,7.5,1.33,0.53,0.53,0.27,0.53,0,0.67,0,0.67,14.7,3.47,23.6,1.87,6.13,6.67,0.67,0.27,0,0.4,0.67,2,0.67,0,Matches
1701,Juan Mata\29733c72,es ESP,MF,Manchester Utd,eng Premier League,33,1988,2.6,2.69,2.31,0.77,1.54,0.38,1.15,1.92,60,0.77,19.6,5.77,29.4,6.54,9.23,3.85,0.38,0,0,0.38,0.77,3.46,0.77,0,Matches
1702,Pape Matar Sarr\feb5d972,sn SEN,MF,Metz,fr Ligue 1,18,2002,23.7,2.41,1.52,0.93,1.18,0.3,0.51,1.69,30,1.18,17.7,4.94,27.9,5.91,9.07,2.7,1.48,0.17,0,1.31,1.98,4.39,1.1,0.04,Matches
1703,Eliot Matazo\15944afd,be BEL,MF,Monaco,fr Ligue 1,19,2002,8.8,1.48,1.25,0.57,0.8,0.11,0.45,1.25,36.4,0.8,19,5,26.3,4.77,11.1,3.07,1.48,0.34,0,1.14,2.16,3.64,0.91,0,Matches
1704,Aleš Matějů\deb748c9,cz CZE,DF,Venezia,it Serie A,25,1996,8.1,2.1,1.11,1.48,0.62,0,0.62,2.59,23.8,1.98,16.3,4.81,29.5,9.01,4.57,2.72,2.1,0.74,0,1.36,1.98,4.07,1.6,0,Matches
1705,Jean-Philippe Mateta\50e6dc35,fr FRA,FW,Crystal Palace,eng Premier League,24,1997,12.7,0.55,0.39,0.08,0.39,0.08,0.24,1.02,23.1,0.79,19.6,3.94,20.1,1.73,10.9,7.01,0.94,0.24,0,0.71,0.31,0.87,1.18,0,Matches
1706,Nemanja Matić\eb7822d7,rs SRB,MF,Manchester Utd,eng Premier League,32,1988,15.4,2.21,1.82,1.3,0.84,0.06,0.65,1.88,34.5,1.23,15.1,4.55,30.2,6.88,6.95,1.23,2.21,0.39,0,1.82,2.08,4.29,2.01,0.06,Matches
1707,Joël Matip\b217ef29,cm CMR,DF,Liverpool,eng Premier League,29,1991,31,1.55,1.16,0.77,0.58,0.19,0.55,0.94,58.6,0.39,6.77,2.87,42.4,3.77,2.39,0.61,1.23,0.55,0.03,0.68,2.13,3.68,3.9,0.03,Matches
1708,Chrislain Matsima\cf1ef7ec,fr FRA,DF,Monaco,fr Ligue 1,19,2002,1.5,2.67,2,0.67,2,0,1.33,4.67,28.6,3.33,14.7,4.67,31.8,8.67,6,0,2.67,2.67,0,0,1.33,4,6,0,Matches
1709,Azor Matusiwa\a17a94d6,nl NED,MF,Reims,fr Ligue 1,23,1998,27.4,2.59,1.72,1.13,1.31,0.15,0.95,2.01,47.3,1.06,16.9,5.04,29.7,6.5,8.87,1.57,2.08,0.69,0.07,1.39,2.45,5.04,1.93,0,Matches
1710,Neal Maupay\4bcf39f6,fr FRA,FW,Brighton,eng Premier League,24,1996,25.3,0.75,0.47,0.12,0.36,0.28,0.2,0.55,35.7,0.36,20.1,5.65,28.1,1.7,7.35,11,0.83,0.12,0,0.71,0.4,1.15,0.12,0,Matches
1711,Stephy Mavididi\30144daa,eng ENG,FWMF,Montpellier,fr Ligue 1,23,1998,25.5,0.98,0.51,0.39,0.35,0.24,0.59,1.25,46.9,0.67,17.3,4.75,27.4,4.31,6.94,6.08,0.78,0.08,0,0.71,0.94,1.92,0.27,0,Matches
1712,Konstantinos Mavropanos\00963611,gr GRE,DF,Stuttgart,de Bundesliga,23,1997,30.1,2.36,1.3,1.46,0.8,0.1,1,1.79,55.6,0.8,8.44,3.82,45.3,4.98,2.92,0.53,2.79,1.03,0.03,1.76,3.22,5.58,5.32,0.03,Matches
1713,Eric Maxim Choupo-Moting\0e6bc38c,cm CMR,FWMF,Bayern Munich,de Bundesliga,32,1989,4.2,3.1,2.14,0.95,1.43,0.71,0.48,1.67,28.6,1.19,18.6,5.95,32.1,2.14,8.81,7.62,1.19,0.24,0,0.95,0.71,3.81,0.48,0,Matches
1714,Luís Maximiano\3318286e,pt POR,GK,Granada,es La Liga,22,1999,33.8,0.06,0,0.06,0,0,0.06,0.15,40,0.09,0.21,0.03,14.3,0.21,0,0,0,0,0,0,0,0.06,0.06,0.06,Matches
1715,Borja Mayoral\64e8ed6d,es ESP,FW,Getafe,es La Liga,24,1997,11.6,0.69,0.43,0.09,0.43,0.17,0.26,0.26,100,0,13.6,3.02,22.2,1.21,5.78,6.64,1.29,0.43,0,0.86,0.78,1.47,0.26,0,Matches
1716,Borja Mayoral\64e8ed6d,es ESP,FWDF,Roma,it Serie A,24,1997,1.1,0,0,0,0,0,0,0,,0,10,4.55,45.5,1.82,3.64,4.55,0,0,0,0,0,0,0,0,Matches
1717,Derek Mazou-Sacko\810edef9,fr FRA,FWDF,Troyes,fr Ligue 1,16,2004,0,1,0,0,0,1,1,1,100,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,Matches
1718,Pasquale Mazzocchi\eb0ec070,it ITA,DF,Venezia,it Serie A,26,1995,13.8,1.23,0.87,0.94,0.07,0.22,0.51,1.59,31.8,1.09,14,4.2,30.1,6.09,5.72,2.17,1.96,0.58,0,1.38,2.97,4.2,2.54,0,Matches
1719,Pasquale Mazzocchi\eb0ec070,it ITA,DF,Salernitana,it Serie A,26,1995,14.1,1.49,1.06,1.13,0.21,0.14,0.5,1.84,26.9,1.35,13.3,4.89,36.9,5.46,5.82,1.99,1.06,0,0,1.06,1.7,3.19,2.34,0,Matches
1720,Kevin Mbabu\493924a7,ch SUI,DF,Wolfsburg,de Bundesliga,26,1995,15.5,2.39,1.1,1.61,0.45,0.32,0.65,1.55,41.7,0.9,15.2,4.71,31.1,6.32,5.1,3.74,2.45,0.45,0,2,2.45,4.84,2.58,0,Matches
1721,Kylian Mbappé\42fd9c7f,fr FRA,FW,Paris S-G,fr Ligue 1,22,1998,33.6,0.42,0.33,0.03,0.12,0.27,0.15,0.45,33.3,0.3,8.36,2.11,25.3,0.36,1.96,6.04,0.15,0,0,0.15,0.42,0.83,0.39,0,Matches
1722,Ibrahima Mbaye\cfbf9881,sn SEN,DF,Bologna,it Serie A,26,1994,1.2,0.83,0,0.83,0,0,0.83,1.67,50,0.83,11.7,0.83,7.1,8.33,1.67,1.67,1.67,1.67,0,0,0.83,1.67,6.67,0,Matches
1723,Amadou Mbengue\14d2670e,sn SEN,DFMF,Metz,fr Ligue 1,19,2002,6.8,3.53,2.21,1.76,1.76,0,0.88,2.79,31.6,1.91,17.9,4.85,27,8.09,9.12,0.74,2.21,0.44,0,1.76,1.47,5,2.35,0,Matches
1724,Bryan Mbeumo\6afaebf2,fr FRA,FW,Brentford,eng Premier League,21,1999,32.3,1.18,0.77,0.09,0.56,0.53,0.22,0.56,38.9,0.34,15.6,4.27,27.3,2.29,6.87,6.47,1.18,0.25,0,0.93,0.71,1.89,0.65,0,Matches
1725,Jason Mbock\890bc029,fr FRA,FW,Angers,fr Ligue 1,21,1999,0.2,0,0,0,0,0,0,0,,0,55,25,45.5,5,20,30,0,0,0,0,0,0,0,0,Matches
1726,Jordi Mboula\4887118d,es ESP,FW,Mallorca,es La Liga,22,1999,4.8,1.04,0.63,0.42,0.42,0.21,0.21,1.25,16.7,1.04,16.7,5.42,32.5,3.54,6.67,6.46,2.08,0.42,0,1.67,0.42,1.46,0,0,Matches
1727,Moustapha Mbow\3f3a2cba,sn SEN,DF,Reims,fr Ligue 1,21,2000,1,6,4,3,2,1,1,2,50,1,17,6,35.3,11,5,1,0,0,0,0,1,7,7,0,Matches
1728,Nathanael Mbuku\46750e9c,fr FRA,FWMF,Reims,fr Ligue 1,19,2002,15.8,1.39,0.82,0.38,0.57,0.44,0.25,0.63,40,0.38,15.9,4.68,29.5,3.67,6.65,5.57,0.95,0.06,0,0.89,1.46,2.85,0.51,0,Matches
1729,James McArthur\cee31595,sct SCO,MF,Crystal Palace,eng Premier League,33,1987,16,2.31,1.63,1.13,1.06,0.13,0.94,2.5,37.5,1.56,23.5,8.06,34.3,8.13,12.3,3.06,2.13,0.56,0,1.56,2.13,4.44,2.63,0,Matches
1730,James Mcatee\96593e89,eng ENG,MFFW,Manchester City,eng Premier League,18,2002,0.2,0,0,0,0,0,0,10,0,10,45,10,22.2,10,0,35,0,0,0,0,5,5,0,0,Matches
1731,Kasey McAteer\b2c66859,eng ENG,FW,Leicester City,eng Premier League,19,2001,0,0,0,0,0,0,0,0,,0,4,1,25,0,2,2,0,0,0,0,0,0,0,0,Matches
1732,Liam McCarron\076bb352,sct SCO,FW,Leeds United,eng Premier League,20,2001,0.1,0,0,0,0,0,0,0,,0,30,0,0,20,0,10,0,0,0,0,0,0,0,0,Matches
1733,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,eng Premier League,31,1989,17,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1734,John McGinn\90f91999,sct SCO,MF,Aston Villa,eng Premier League,26,1994,34.3,3.03,1.78,1.14,1.49,0.41,1.22,3.03,40.4,1.81,16.3,5.07,31.1,4.72,8.69,2.92,1.78,0.2,0,1.57,1.52,4.55,1.11,0,Matches
1735,Weston McKennie\01c3aff5,us USA,MF,Juventus,it Serie A,22,1998,15.2,1.91,1.12,0.86,0.66,0.39,0.53,1.38,38.1,0.86,18.4,5.86,31.9,6.91,7.76,3.68,1.71,0.39,0,1.32,1.64,3.55,1.12,0,Matches
1736,Stuart McKinstry\1000a059,sct SCO,MF,Leeds United,eng Premier League,18,2002,0,0,0,0,0,0,0,0,,0,1,1,100,1,0,0,0,0,0,0,0,0,0,0,Matches
1737,Kenny McLean\471f16b3,sct SCO,MF,Norwich City,eng Premier League,29,1992,30.1,1.36,0.8,0.5,0.76,0.1,0.56,1.99,28.3,1.43,17.1,3.82,22.3,6.98,7.71,2.46,1.06,0.23,0,0.83,1.83,3.19,1.83,0,Matches
1738,Dwight McNeil\fc15fb84,eng ENG,MF,Burnley,eng Premier League,21,1999,34.5,1.97,1.04,0.81,0.93,0.23,0.64,2.14,29.7,1.51,19.7,4.99,25.3,6.87,8.35,4.49,2.38,0.35,0.06,2.03,1.94,3.91,0.58,0,Matches
1739,Scott McTominay\d93c2511,sct SCO,MF,Manchester Utd,eng Premier League,24,1996,26.5,2.6,1.25,1.43,0.91,0.26,1.25,2.49,50,1.25,18.5,4.98,26.9,6.87,9.28,2.34,1.81,0.42,0,1.4,1.77,4.38,2.45,0,Matches
1740,Gary Medel\563a68ad,cl CHI,DF,Bologna,it Serie A,33,1987,31.4,1.08,0.57,0.86,0.22,0,0.38,0.96,40,0.57,9.11,3.18,35,5.48,3.31,0.32,1.59,0.76,0,0.83,1.97,3.06,4.08,0,Matches
1741,Facundo Medina\6f5ec8bb,ar ARG,DF,Lens,fr Ligue 1,22,1999,28.8,2.57,1.81,1.53,0.9,0.14,1.39,2.4,58,1.01,12.2,4.55,37.3,5.1,6.18,0.9,1.74,0.28,0.07,1.46,2.33,4.9,2.64,0.03,Matches
1742,Nathan de Medina\d686dbc0,be BEL,DF,Arminia,de Bundesliga,23,1997,8.6,2.44,1.4,1.28,1.05,0.12,0.7,1.16,60,0.47,18.4,5.7,31,10.9,6.16,1.28,2.33,0.35,0,1.98,2.21,4.65,2.67,0,Matches
1743,Ben Mee\8df7a2fb,eng ENG,DF,Burnley,eng Premier League,31,1989,20.4,1.32,0.78,0.74,0.44,0.15,0.54,1.08,50,0.54,5.34,1.91,35.8,2.99,2.06,0.29,1.96,1.27,0.05,0.69,1.72,3.04,5.98,0,Matches
1744,Admir Mehmedi\b500b384,ch SUI,MF,Wolfsburg,de Bundesliga,30,1991,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,Matches
1745,Hannibal Mejbri\ca22ccb0,tn TUN,FW,Manchester Utd,eng Premier League,18,2003,0.8,0,0,0,0,0,0,0,,0,40,7.5,18.8,7.5,16.3,16.3,0,0,0,0,1.25,1.25,0,0,Matches
1746,Farid El Melali\d21e361a,dz ALG,FW,Angers,fr Ligue 1,24,1997,0.2,0,0,0,0,0,0,0,,0,30,5,16.7,10,15,5,5,0,0,5,0,0,0,0,Matches
1747,Filippo Melegoni\6604165d,it ITA,FWMF,Genoa,it Serie A,22,1999,10.9,1.74,1.01,0.55,0.46,0.73,0.28,1.56,17.6,1.28,23.9,7.8,32.6,5.05,10.6,8.26,1.93,0.18,0,1.74,0.73,2.48,0.55,0,Matches
1748,Óscar Melendo\379652be,es ESP,MFFW,Espanyol,es La Liga,23,1997,11,1,0.64,0.27,0.45,0.27,0.09,0.91,10,0.82,10.9,3.09,28.3,3.64,4.82,2.45,0.91,0.09,0,0.82,0.27,1.27,0.82,0,Matches
1749,Gonzalo Melero\3902e91b,es ESP,MF,Levante,es La Liga,27,1994,18.8,1.91,1.22,0.85,0.8,0.27,0.85,1.54,55.2,0.69,15.5,3.99,25.7,5.53,7.39,2.61,1.22,0.48,0,0.74,0.8,2.71,1.22,0,Matches
1750,Birger Meling\70c52749,no NOR,DF,Rennes,fr Ligue 1,26,1994,20.3,2.51,1.43,1.33,0.69,0.49,1.23,2.07,59.5,0.84,14,5.02,35.9,6.26,4.33,3.4,2.27,0.39,0.05,1.87,1.58,4.09,1.92,0,Matches
1751,Arthur Melo\48b3dd60,br BRA,MF,Juventus,it Serie A,24,1996,10.7,2.06,1.31,0.84,1.12,0.09,0.84,2.43,34.6,1.59,22.1,7.1,32.2,9.44,10,2.62,1.21,0.19,0,1.03,1.03,3.08,0.65,0.09,Matches
1752,Houboulang Mendes\1545cf15,fr FRA,DF,Lorient,fr Ligue 1,23,1998,35.8,2.07,1.17,1.28,0.59,0.2,1.06,1.87,56.7,0.81,13,4.13,31.8,6.93,4.53,1.54,1.82,0.61,0,1.2,2.09,4.16,3.6,0.06,Matches
1753,Nuno Mendes\f20e4cc9,pt POR,DF,Paris S-G,fr Ligue 1,19,2002,18.4,2.45,1.36,1.41,0.76,0.27,1.36,2.72,50,1.36,14.1,4.84,34.2,5.6,5.87,2.66,2.39,0.27,0,2.12,2.07,4.51,1.25,0.05,Matches
1754,Pedro Mendes\6690ef25,pt POR,DF,Montpellier,fr Ligue 1,30,1990,0.2,0,0,0,0,0,0,0,,0,10,0,0,5,5,0,5,5,0,0,0,0,10,0,Matches
1755,Thiago Mendes\c6e5d20f,br BRA,MFDF,Lyon,fr Ligue 1,29,1992,20.7,2.17,1.55,1.06,1.01,0.1,0.68,1.5,45.2,0.82,14.4,5.22,36.2,5.46,7.54,1.4,1.26,0.29,0,0.97,2.56,4.73,2.42,0.05,Matches
1756,Tomás Mendes\45f771db,es ESP,MF,Alavés,es La Liga,16,2004,0.1,0,0,0,0,0,0,0,,0,30,10,33.3,10,20,0,0,0,0,0,0,0,10,0,Matches
1757,Brais Méndez\c9e39d91,es ESP,MF,Celta Vigo,es La Liga,24,1997,33.6,2.05,1.13,0.77,0.92,0.36,0.71,2.35,30.4,1.64,22.9,6.55,28.6,5.77,11.1,6.04,1.99,0.3,0,1.7,1.58,3.63,1.04,0,Matches
1758,Édgar Méndez\aed746df,es ESP,FWMF,Alavés,es La Liga,31,1990,17.9,1.68,0.89,0.56,0.73,0.39,0.56,1.56,35.7,1.01,21,5.03,23.9,4.3,9.94,6.76,1.12,0,0,1.12,0.89,2.57,1.01,0,Matches
1759,Arial Mendy\9f0f4b49,sn SEN,DFFW,Clermont Foot,fr Ligue 1,26,1994,8.8,1.25,0.8,0.91,0.34,0,0.91,1.93,47.1,1.02,10.9,2.27,20.8,3.86,3.98,3.07,1.14,0.23,0,0.91,1.59,2.84,1.02,0,Matches
1760,Batista Mendy\e472a6f6,fr FRA,MFDF,Angers,fr Ligue 1,21,2000,26.8,1.75,1.27,0.9,0.71,0.15,0.6,1.53,39,0.93,15.5,5.11,32.9,6.34,7.65,1.53,1.9,0.19,0,1.72,1.64,3.4,1.75,0,Matches
1761,Benjamin Mendy\5271c8f1,fr FRA,DF,Manchester City,eng Premier League,27,1994,0.9,3.33,1.11,1.11,1.11,1.11,2.22,4.44,50,2.22,13.3,2.22,16.7,3.33,8.89,1.11,0,0,0,0,0,3.33,3.33,0,Matches
1762,Edouard Mendy\33887998,sn SEN,GK,Chelsea,eng Premier League,29,1992,34,0,0,0,0,0,0,0.06,0,0.06,0.09,0.03,33.3,0.09,0,0,0,0,0,0,0,0,0.03,0.15,Matches
1763,Ferland Mendy\3cefcaef,fr FRA,DF,Real Madrid,es La Liga,26,1995,19.3,1.35,0.83,0.73,0.47,0.16,0.47,1.04,45,0.57,7.15,2.64,37,3.26,2.28,1.61,1.66,0.1,0,1.55,1.71,3.06,1.04,0,Matches
1764,Nampalys Mendy\1598599e,sn SEN,MF,Leicester City,eng Premier League,29,1992,11.5,1.39,1.04,0.78,0.52,0.09,0.52,1.39,37.5,0.87,13.5,4.87,36.1,5.65,6.43,1.39,1.39,0.35,0,1.04,1.13,2.52,0.78,0.09,Matches
1765,Gideon Mensah\9bdd8118,gh GHA,DF,Bordeaux,fr Ligue 1,23,1998,13.4,2.84,1.12,1.49,0.82,0.52,0.9,2.39,37.5,1.49,16.9,5.37,31.7,6.79,6.72,3.43,1.19,0.15,0.07,1.04,2.09,4.93,1.34,0,Matches
1766,Jorge Meré\9f979eb2,es ESP,DF,Köln,de Bundesliga,24,1997,5.4,1.3,0.56,0.56,0.56,0.19,0.56,1.67,33.3,1.11,8.7,2.78,31.9,5,3.33,0.37,1.67,0.74,0,0.93,2.41,3.7,6.3,0.19,Matches
1767,Alex Meret\9413b19f,it ITA,GK,Napoli,it Serie A,24,1997,6.9,0,0,0,0,0,0,0,,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0.14,Matches
1768,Fran Mérida\0e50f929,es ESP,MF,Espanyol,es La Liga,31,1990,3,2.67,1.67,1.33,1,0.33,1.67,2.33,71.4,0.67,16.7,2.33,14,6.67,7,3,0.67,0,0,0.67,1,3.67,1.33,0,Matches
1769,Mikel Merino\d080ed5e,es ESP,MF,Real Sociedad,es La Liga,25,1996,32.1,2.37,1.56,0.75,1.31,0.31,0.69,1.9,36.1,1.21,18,5.51,30.6,4.64,9.81,3.58,1.93,0.34,0,1.59,1.15,3.52,1.87,0.06,Matches
1770,Quentin Merlin\0bfca6a1,fr FRA,DF,Nantes,fr Ligue 1,19,2002,21.4,2.48,1.26,1.21,1.03,0.23,1.31,2.66,49.1,1.36,17.4,4.44,25.5,6.87,7.9,2.66,1.78,0.14,0.05,1.64,1.92,4.39,1.12,0,Matches
1771,Martín Merquelanz\ddd5348b,es ESP,FW,Rayo Vallecano,es La Liga,26,1995,1.9,1.58,1.05,1.58,0,0,1.58,3.16,50,1.58,15.8,2.63,16.7,3.16,7.37,5.26,1.58,0,0,1.58,0,1.58,0.53,0,Matches
1772,Yıldırım Mert Çetin\c730da00,tr TUR,DF,Hellas Verona,it Serie A,24,1997,0.5,2,0,2,0,0,0,0,,0,12,2,16.7,4,6,2,4,0,0,4,0,2,4,0,Matches
1773,Dries Mertens\89b2c8a9,be BEL,FWMF,Napoli,it Serie A,34,1987,15.4,0.84,0.71,0.06,0.52,0.26,0.13,1.04,12.5,0.91,20.1,6.23,31.1,1.49,8.25,10.3,0.39,0.13,0,0.26,0.45,1.3,0.13,0,Matches
1774,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,eng Premier League,21,2000,37.6,0,0,0,0,0,0,0,,0,0.13,0.05,40,0.13,0,0,0,0,0,0,0,0,0.05,0.05,Matches
1775,Lionel Messi\d70ce98e,ar ARG,FWMF,Paris S-G,fr Ligue 1,34,1987,23.9,0.42,0.29,0.08,0.25,0.08,0.13,0.67,18.8,0.54,9.21,2.05,22.3,0.84,3.85,4.52,0.33,0,0,0.33,0.5,0.92,0,0,Matches
1776,Junior Messias\f49c4ae9,br BRA,FWMF,Milan,it Serie A,30,1991,15.9,2.14,1.51,0.75,0.82,0.57,0.69,1.82,37.9,1.13,17.4,4.84,27.9,3.58,6.48,7.3,1.26,0.13,0,1.13,2.08,4.21,0.75,0,Matches
1777,Thomas Meunier\e162b013,be BEL,DF,Dortmund,de Bundesliga,29,1991,15.6,2.18,1.47,0.71,0.9,0.58,1.03,1.92,53.3,0.9,9.68,3.72,38.4,4.23,3.91,1.54,1.03,0.13,0,0.9,1.28,3.46,1.67,0.06,Matches
1778,Mexer\ce492295,mz MOZ,DF,Bordeaux,fr Ligue 1,32,1988,13.6,1.25,0.96,0.96,0.29,0,0.59,1.4,42.1,0.81,5.15,1.99,38.6,3.75,1.1,0.29,1.4,0.66,0,0.74,2.13,3.38,5.44,0,Matches
1779,Marco Meyerhöfer\0b104510,de GER,DF,Greuther Fürth,de Bundesliga,25,1995,25.3,2.02,0.91,0.95,0.79,0.28,0.83,1.7,48.8,0.87,10.8,3.6,33.3,4.62,4.19,1.98,2.49,0.87,0,1.62,2.69,4.7,3.12,0.04,Matches
1780,Matt Miazga\9fc0f253,us USA,DF,Alavés,es La Liga,26,1995,9.3,1.29,0.86,0.75,0.54,0,0.54,0.97,55.6,0.43,7.53,3.23,42.9,4.62,2.8,0.11,2.37,1.29,0,1.08,1.08,2.37,6.56,0.11,Matches
1781,Kingsley Michael\e63e122d,ng NGA,MF,Bologna,it Serie A,21,1999,0.8,2.5,2.5,2.5,0,0,1.25,2.5,50,1.25,23.8,7.5,31.6,11.3,11.3,1.25,5,1.25,0,3.75,1.25,3.75,1.25,0,Matches
1782,Sven Michel\1e274a0a,de GER,FW,Union Berlin,de Bundesliga,31,1990,3.8,2.89,1.84,1.05,1.32,0.53,0.53,2.11,25,1.58,23.7,7.11,30,5.26,8.95,9.47,2.11,0,0,2.11,0.26,3.16,0,0,Matches
1783,Edouard Michut\fe6c1add,fr FRA,MF,Paris S-G,fr Ligue 1,18,2003,0.8,2.5,2.5,0,1.25,1.25,0,1.25,0,1.25,27.5,10,36.4,7.5,11.3,8.75,2.5,1.25,0,1.25,0,2.5,2.5,0,Matches
1784,Miguel\6763373d,es ESP,FWMF,Alavés,es La Liga,21,1999,9.2,1.2,0.98,0.22,0.65,0.33,0.54,1.74,31.3,1.2,23.4,5,21.4,2.83,10.3,10.2,0.87,0.22,0,0.65,0.22,1.41,0.87,0,Matches
1785,Valentin Mihaila\81a4c239,ro ROU,FWMF,Atalanta,it Serie A,21,2000,0.8,1.25,1.25,0,1.25,0,0,0,,0,22.5,6.25,27.8,1.25,7.5,13.8,2.5,0,0,2.5,0,1.25,1.25,0,Matches
1786,Mikael\33502726,br BRA,FWMF,Salernitana,it Serie A,22,1999,1,1,1,0,1,0,0,0,,0,16,3,18.8,1,9,6,0,0,0,0,0,1,1,0,Matches
1787,Hilmir Mikaelsson\5add9b29,is ISL,FW,Venezia,it Serie A,17,2004,0.2,10,0,0,10,0,0,0,,0,20,5,25,0,20,0,5,0,0,5,0,10,0,0,Matches
1788,Georges Mikautadze\4788cb6b,ge GEO,FW,Metz,fr Ligue 1,20,2000,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,Matches
1789,William Mikelbrencis\14df1d7f,fr FRA,DF,Metz,fr Ligue 1,17,2004,6.8,2.21,1.47,1.18,0.88,0.15,1.03,1.76,58.3,0.74,16,3.68,22.9,6.47,7.94,1.62,1.62,0.59,0,1.03,1.62,3.82,0.59,0,Matches
