,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,33,1988,28.2,0.96,0.43,0.64,0.32,0,0.32,0.71,45,0.39,5.85,1.7,29.1,3.05,2.41,0.39,1.7,1.06,0,0.64,1.7,2.66,4.08,0.04,Matches
11,Ragnar Ache\dc38e3bc,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,0.69,0.69,0,0.34,0.34,0.69,1.03,66.7,0.34,23.8,6.9,29,1.72,10,12.1,1.03,0,0,1.03,0,0.69,0.34,0,Matches
12,Mohamed Achi\1e93fc5d,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,10,10,0,0,10,0,0,,0,20,20,100,20,0,0,0,0,0,0,0,10,0,0,Matches
13,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,2.31,1.55,1.31,0.6,0.4,0.84,1.39,60,0.56,11.7,3.94,33.8,5.26,4.74,1.67,1.43,0.16,0,1.27,1.24,3.55,1.2,0,Matches
14,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,0.7,0.4,0.18,0.26,0.26,0.09,0.66,13.3,0.57,14.6,3.83,26.2,1.67,5.81,7.14,1.1,0.18,0,0.93,0.44,1.15,0.66,0,Matches
15,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,1.73,1.07,0.4,1.13,0.2,0.53,1.87,28.6,1.33,21.7,6.93,32,5.93,13.2,2.53,2.13,0.07,0,2.07,1.53,3.27,1.33,0.07,Matches
16,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,3.51,2.16,2.16,1.08,0.27,1.35,3.51,38.5,2.16,21.9,7.3,33.3,4.59,11.1,6.22,1.35,0,0,1.35,0.81,4.32,0.54,0,Matches
17,Martin Adeline\7587446d,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,3.59,3.08,2.05,1.28,0.26,1.28,3.85,33.3,2.56,26.2,7.18,27.5,9.49,11.3,5.38,1.03,0,0,1.03,3.59,7.18,1.54,0,Matches
18,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14,2.71,1.79,1,1.29,0.43,1.21,2.07,58.6,0.86,21.4,6.64,31,4.5,8.79,8.14,2.5,0.29,0,2.21,1.21,3.93,0.57,0,Matches
19,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,1.91,1.35,1.04,0.68,0.2,0.6,2.67,22.4,2.07,24.9,7.25,29.1,6.61,12.7,5.58,1.63,0.12,0,1.51,2.15,4.06,0.6,0.04,Matches
