,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
38,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,0.04,0.56,0.12,21.4,0.56,0.12,0.07,0.33,10.4,0.04,0,0,0.07,0.07,0.13,-0.03,-0.03,Matches
39,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,0,0.49,0.05,10,0.49,0.05,0,0,19.3,0,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
40,Marley Aké\414e1f69,fr FRA,MFFW,Juventus,it Serie A,20,2001,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
41,Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,0.19,0.49,0.19,40,0.49,0.2,0.4,1,5.8,0,0,0,0.11,0.11,0.23,0.09,0.09,Matches
42,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,0,2.86,1.43,50,2.9,1.45,0,0,21.4,0,0,0,0.07,0.07,0.03,-0.07,-0.07,Matches
43,Maghnes Akliouche\b625b241,fr FRA,MFFW,Monaco,fr Ligue 1,19,2002,0.6,0,3.33,1.67,50,3.33,1.67,0,0,13.5,0,0,0,0.33,0.33,0.09,-0.33,-0.33,Matches
44,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,es La Liga,23,1997,5.7,0,0.35,0,0,0.35,0,0,,21,0,0,0,0,0,0.02,0,0,Matches
45,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,0,0.86,0,0,0.86,0,0,,18.4,0,0,0,0.11,0.11,0.14,-0.11,-0.11,Matches
46,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,26,1995,17,0.12,0.71,0.24,33.3,0.71,0.24,0.17,0.5,12.7,0,0,0,0.07,0.07,0.1,0.05,0.05,Matches
47,David Alaba\05439de2,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,0.07,0.71,0.2,28.6,0.72,0.2,0.1,0.33,22,0.24,0,0,0.05,0.05,0.08,0.01,0.01,Matches
