,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1698,Roberto Massimo\fc62fdf4,de GER,DFFW,Stuttgart,de Bundesliga,20,2000,9.7,0.21,2.06,1.13,55,2.05,1.13,0.1,0.18,18.4,0,0,0,0.26,0.26,0.12,-0.05,-0.05,Matches
1699,Arthur Masuaku\57df7a11,cd COD,DFFW,West Ham,eng Premier League,27,1993,7.2,0.14,0.56,0.14,25,0.55,0.14,0.25,1,26.6,0,0,0,0.01,0.01,0.03,0.13,0.13,Matches
1700,Jaime Mata\02319ad7,es ESP,FW,Getafe,es La Liga,32,1988,7.5,0.13,1.2,0.4,33.3,1.21,0.4,0.11,0.33,13.6,0,0,0,0.2,0.2,0.16,-0.07,-0.07,Matches
1701,Juan Mata\29733c72,es ESP,MF,Manchester Utd,eng Premier League,33,1988,2.6,0,1.92,0.38,20,1.91,0.38,0,0,16,0,0,0,0.12,0.12,0.06,-0.12,-0.12,Matches
1702,Pape Matar Sarr\feb5d972,sn SEN,MF,Metz,fr Ligue 1,18,2002,23.7,0.04,1.35,0.34,25,1.35,0.34,0.03,0.13,27.9,0.04,0,0,0.07,0.07,0.05,-0.03,-0.03,Matches
1703,Eliot Matazo\15944afd,be BEL,MF,Monaco,fr Ligue 1,19,2002,8.8,0,0.45,0.11,25,0.46,0.11,0,0,26.6,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
1704,Aleš Matějů\deb748c9,cz CZE,DF,Venezia,it Serie A,25,1996,8.1,0,0.25,0.25,100,0.25,0.25,0,0,11.4,0,0,0,0.02,0.02,0.08,-0.02,-0.02,Matches
1705,Jean-Philippe Mateta\50e6dc35,fr FRA,FW,Crystal Palace,eng Premier League,24,1997,12.7,0.39,2.91,1.42,48.6,2.91,1.41,0.14,0.28,10.5,0,0,0,0.43,0.43,0.15,-0.04,-0.04,Matches
1706,Nemanja Matić\eb7822d7,rs SRB,MF,Manchester Utd,eng Premier League,32,1988,15.4,0,0.39,0.06,16.7,0.39,0.07,0,0,23.4,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
1707,Joël Matip\b217ef29,cm CMR,DF,Liverpool,eng Premier League,29,1991,31,0.1,1.1,0.23,20.6,1.1,0.23,0.09,0.43,8.7,0,0,0,0.1,0.1,0.09,0,0,Matches
1708,Chrislain Matsima\cf1ef7ec,fr FRA,DF,Monaco,fr Ligue 1,19,2002,1.5,0,0.67,0,0,0.67,0,0,,10,0,0,0,0.07,0.07,0.09,-0.07,-0.07,Matches
1709,Azor Matusiwa\a17a94d6,nl NED,MF,Reims,fr Ligue 1,23,1998,27.4,0.04,0.36,0.18,50,0.37,0.18,0.1,0.2,23.1,0,0,0,0.01,0.01,0.04,0.02,0.02,Matches
1710,Neal Maupay\4bcf39f6,fr FRA,FW,Brighton,eng Premier League,24,1996,25.3,0.32,2.33,0.55,23.7,2.33,0.55,0.12,0.5,15.9,0,0.04,0.08,0.3,0.25,0.1,0.01,0.03,Matches
1711,Stephy Mavididi\30144daa,eng ENG,FWMF,Montpellier,fr Ligue 1,23,1998,25.5,0.31,2.31,0.9,39,2.31,0.9,0.14,0.35,16.3,0,0,0,0.3,0.3,0.14,0.02,0.02,Matches
1712,Konstantinos Mavropanos\00963611,gr GRE,DF,Stuttgart,de Bundesliga,23,1997,30.1,0.13,1.1,0.37,33.3,1.1,0.37,0.12,0.36,12.5,0,0,0,0.09,0.09,0.09,0.04,0.04,Matches
1713,Eric Maxim Choupo-Moting\0e6bc38c,cm CMR,FWMF,Bayern Munich,de Bundesliga,32,1989,4.2,0.95,3.57,1.9,53.3,3.58,1.91,0.27,0.5,11.1,0,0,0,0.67,0.67,0.21,0.29,0.29,Matches
1714,Luís Maximiano\3318286e,pt POR,GK,Granada,es La Liga,22,1999,33.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1715,Borja Mayoral\64e8ed6d,es ESP,FW,Getafe,es La Liga,24,1997,11.6,0.52,1.38,0.52,37.5,1.38,0.52,0.31,0.83,15.8,0,0.09,0.09,0.23,0.17,0.12,0.28,0.26,Matches
1716,Borja Mayoral\64e8ed6d,es ESP,FWDF,Roma,it Serie A,24,1997,1.1,0,0.91,0,0,0.94,0,0,,14,0,0,0,0.09,0.09,0.1,-0.09,-0.09,Matches
1717,Derek Mazou-Sacko\810edef9,fr FRA,FWDF,Troyes,fr Ligue 1,16,2004,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1718,Pasquale Mazzocchi\eb0ec070,it ITA,DF,Venezia,it Serie A,26,1995,13.8,0,0.43,0,0,0.43,0,0,,21.8,0,0,0,0.04,0.04,0.1,-0.04,-0.04,Matches
1719,Pasquale Mazzocchi\eb0ec070,it ITA,DF,Salernitana,it Serie A,26,1995,14.1,0,0.43,0.14,33.3,0.43,0.14,0,0,25.7,0.07,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
1720,Kevin Mbabu\493924a7,ch SUI,DF,Wolfsburg,de Bundesliga,26,1995,15.5,0,0.32,0,0,0.32,0,0,,10.6,0,0,0,0.03,0.03,0.07,-0.03,-0.03,Matches
1721,Kylian Mbappé\42fd9c7f,fr FRA,FW,Paris S-G,fr Ligue 1,22,1998,33.6,0.83,4.29,1.79,41.7,4.29,1.79,0.17,0.4,16.8,0.09,0.12,0.12,0.7,0.6,0.14,0.14,0.11,Matches
1722,Ibrahima Mbaye\cfbf9881,sn SEN,DF,Bologna,it Serie A,26,1994,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1723,Amadou Mbengue\14d2670e,sn SEN,DFMF,Metz,fr Ligue 1,19,2002,6.8,0,0.44,0,0,0.44,0,0,,26.5,0,0,0,0,0,0.02,0,0,Matches
1724,Bryan Mbeumo\6afaebf2,fr FRA,FW,Brentford,eng Premier League,21,1999,32.3,0.12,2.38,0.59,24.7,2.39,0.59,0.04,0.16,15.9,0.09,0.03,0.03,0.3,0.28,0.12,-0.18,-0.19,Matches
1725,Jason Mbock\890bc029,fr FRA,FW,Angers,fr Ligue 1,21,1999,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1726,Jordi Mboula\4887118d,es ESP,FW,Mallorca,es La Liga,22,1999,4.8,0,1.04,0,0,1.04,0,0,,13.2,0,0,0,0.06,0.06,0.06,-0.06,-0.06,Matches
1727,Moustapha Mbow\3f3a2cba,sn SEN,DF,Reims,fr Ligue 1,21,2000,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1728,Nathanael Mbuku\46750e9c,fr FRA,FWMF,Reims,fr Ligue 1,19,2002,15.8,0.13,2.09,0.82,39.4,2.09,0.83,0.06,0.15,18.7,0,0,0,0.19,0.19,0.09,-0.06,-0.06,Matches
1729,James McArthur\cee31595,sct SCO,MF,Crystal Palace,eng Premier League,33,1987,16,0,0.56,0.19,33.3,0.56,0.19,0,0,19.8,0,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
1730,James Mcatee\96593e89,eng ENG,MFFW,Manchester City,eng Premier League,18,2002,0.2,0,5,0,0,4.5,0,0,,13,0,0,0,0,0,0.04,0,0,Matches
1731,Kasey McAteer\b2c66859,eng ENG,FW,Leicester City,eng Premier League,19,2001,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1732,Liam McCarron\076bb352,sct SCO,FW,Leeds United,eng Premier League,20,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1733,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,eng Premier League,31,1989,17,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1734,John McGinn\90f91999,sct SCO,MF,Aston Villa,eng Premier League,26,1994,34.3,0.09,1.25,0.44,34.9,1.25,0.44,0.07,0.2,23.8,0,0,0,0.04,0.04,0.04,0.04,0.04,Matches
1735,Weston McKennie\01c3aff5,us USA,MF,Juventus,it Serie A,22,1998,15.2,0.2,1.51,0.33,21.7,1.51,0.33,0.13,0.6,15.3,0,0,0,0.15,0.15,0.1,0.05,0.05,Matches
1736,Stuart McKinstry\1000a059,sct SCO,MF,Leeds United,eng Premier League,18,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1737,Kenny McLean\471f16b3,sct SCO,MF,Norwich City,eng Premier League,29,1992,30.1,0.03,1.13,0.2,17.6,1.13,0.2,0.03,0.17,18.9,0,0,0,0.06,0.06,0.06,-0.03,-0.03,Matches
1738,Dwight McNeil\fc15fb84,eng ENG,MF,Burnley,eng Premier League,21,1999,34.5,0,1.51,0.43,28.8,1.51,0.43,0,0,22.1,0.12,0,0,0.07,0.07,0.04,-0.07,-0.07,Matches
1739,Scott McTominay\d93c2511,sct SCO,MF,Manchester Utd,eng Premier League,24,1996,26.5,0.04,1.02,0.26,25.9,1.02,0.26,0.04,0.14,19.4,0,0,0,0.06,0.06,0.06,-0.02,-0.02,Matches
1740,Gary Medel\563a68ad,cl CHI,DF,Bologna,it Serie A,33,1987,31.4,0,0.06,0,0,0.06,0,0,,10.4,0,0,0,0.01,0.01,0.14,-0.01,-0.01,Matches
1741,Facundo Medina\6f5ec8bb,ar ARG,DF,Lens,fr Ligue 1,22,1999,28.8,0.03,0.31,0.07,22.2,0.31,0.07,0.11,0.5,8.9,0,0,0,0.04,0.04,0.13,-0.01,-0.01,Matches
1742,Nathan de Medina\d686dbc0,be BEL,DF,Arminia,de Bundesliga,23,1997,8.6,0,0.58,0.12,20,0.58,0.12,0,0,19.6,0,0,0,0.05,0.05,0.08,-0.05,-0.05,Matches
1743,Ben Mee\8df7a2fb,eng ENG,DF,Burnley,eng Premier League,31,1989,20.4,0.15,0.88,0.2,22.2,0.88,0.2,0.17,0.75,8,0,0,0,0.09,0.09,0.11,0.06,0.06,Matches
1744,Admir Mehmedi\b500b384,ch SUI,MF,Wolfsburg,de Bundesliga,30,1991,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1745,Hannibal Mejbri\ca22ccb0,tn TUN,FW,Manchester Utd,eng Premier League,18,2003,0.8,0,1.25,1.25,100,1.32,1.32,0,0,22,0,0,0,0.13,0.13,0.09,-0.13,-0.13,Matches
1746,Farid El Melali\d21e361a,dz ALG,FW,Angers,fr Ligue 1,24,1997,0.2,0,5,0,0,6.43,0,0,,24.8,0,0,0,0,0,0.02,0,0,Matches
1747,Filippo Melegoni\6604165d,it ITA,FWMF,Genoa,it Serie A,22,1999,10.9,0.09,1.19,0.64,53.8,1.19,0.64,0.08,0.14,22,0.09,0,0,0.06,0.06,0.05,0.04,0.04,Matches
1748,Óscar Melendo\379652be,es ESP,MFFW,Espanyol,es La Liga,23,1997,11,0,0.73,0,0,0.73,0,0,,16.6,0,0,0,0.06,0.06,0.08,-0.06,-0.06,Matches
1749,Gonzalo Melero\3902e91b,es ESP,MF,Levante,es La Liga,27,1994,18.8,0.37,1.06,0.48,45,1.06,0.48,0.25,0.56,16.2,0,0.11,0.11,0.22,0.14,0.13,0.15,0.13,Matches
1750,Birger Meling\70c52749,no NOR,DF,Rennes,fr Ligue 1,26,1994,20.3,0,0.15,0.05,33.3,0.15,0.05,0,0,16.1,0,0,0,0,0,0.05,0,0,Matches
1751,Arthur Melo\48b3dd60,br BRA,MF,Juventus,it Serie A,24,1996,10.7,0,0.19,0,0,0.19,0,0,,19.2,0,0,0,0.01,0.01,0.05,-0.01,-0.01,Matches
1752,Houboulang Mendes\1545cf15,fr FRA,DF,Lorient,fr Ligue 1,23,1998,35.8,0,0.59,0.14,23.8,0.59,0.14,0,0,19.5,0,0,0,0.04,0.04,0.07,-0.04,-0.04,Matches
1753,Nuno Mendes\f20e4cc9,pt POR,DF,Paris S-G,fr Ligue 1,19,2002,18.4,0,0.38,0.05,14.3,0.38,0.05,0,0,20.8,0,0,0,0.03,0.03,0.07,-0.03,-0.03,Matches
1754,Pedro Mendes\6690ef25,pt POR,DF,Montpellier,fr Ligue 1,30,1990,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1755,Thiago Mendes\c6e5d20f,br BRA,MFDF,Lyon,fr Ligue 1,29,1992,20.7,0.1,0.77,0.19,25,0.77,0.19,0.13,0.5,24.1,0.19,0,0,0.03,0.03,0.05,0.06,0.06,Matches
1756,Tomás Mendes\45f771db,es ESP,MF,Alavés,es La Liga,16,2004,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1757,Brais Méndez\c9e39d91,es ESP,MF,Celta Vigo,es La Liga,24,1997,33.6,0.12,1.67,0.48,28.6,1.67,0.48,0.07,0.25,19.1,0.09,0,0,0.13,0.13,0.08,-0.01,-0.01,Matches
1758,Édgar Méndez\aed746df,es ESP,FWMF,Alavés,es La Liga,31,1990,17.9,0.06,1.45,0.45,30.8,1.45,0.45,0.04,0.13,18.2,0,0,0,0.12,0.12,0.08,-0.06,-0.06,Matches
1759,Arial Mendy\9f0f4b49,sn SEN,DFFW,Clermont Foot,fr Ligue 1,26,1994,8.8,0,1.14,0.34,30,1.14,0.34,0,0,21.6,0,0,0,0.05,0.05,0.04,-0.05,-0.05,Matches
1760,Batista Mendy\e472a6f6,fr FRA,MFDF,Angers,fr Ligue 1,21,2000,26.8,0.04,0.52,0.22,42.9,0.52,0.22,0.07,0.17,20.3,0,0,0,0.03,0.03,0.05,0.01,0.01,Matches
1761,Benjamin Mendy\5271c8f1,fr FRA,DF,Manchester City,eng Premier League,27,1994,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1762,Edouard Mendy\33887998,sn SEN,GK,Chelsea,eng Premier League,29,1992,34,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1763,Ferland Mendy\3cefcaef,fr FRA,DF,Real Madrid,es La Liga,26,1995,19.3,0.1,0.62,0.31,50,0.62,0.31,0.17,0.33,18.5,0,0,0,0.06,0.06,0.09,0.05,0.05,Matches
1764,Nampalys Mendy\1598599e,sn SEN,MF,Leicester City,eng Premier League,29,1992,11.5,0,0.09,0.09,100,0.09,0.09,0,0,25.3,0,0,0,0,0,0.02,0,0,Matches
1765,Gideon Mensah\9bdd8118,gh GHA,DF,Bordeaux,fr Ligue 1,23,1998,13.4,0,0.15,0,0,0.15,0,0,,11.5,0,0,0,0.03,0.03,0.2,-0.03,-0.03,Matches
1766,Jorge Meré\9f979eb2,es ESP,DF,Köln,de Bundesliga,24,1997,5.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1767,Alex Meret\9413b19f,it ITA,GK,Napoli,it Serie A,24,1997,6.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1768,Fran Mérida\0e50f929,es ESP,MF,Espanyol,es La Liga,31,1990,3,0,1.33,0,0,1.35,0,0,,21.9,0,0,0,0.03,0.03,0.02,-0.03,-0.03,Matches
1769,Mikel Merino\d080ed5e,es ESP,MF,Real Sociedad,es La Liga,25,1996,32.1,0.09,1.37,0.47,34.1,1.37,0.47,0.07,0.2,16.7,0,0,0,0.13,0.13,0.1,-0.04,-0.04,Matches
1770,Quentin Merlin\0bfca6a1,fr FRA,DF,Nantes,fr Ligue 1,19,2002,21.4,0.09,0.51,0.19,36.4,0.51,0.19,0.18,0.5,22.9,0.05,0,0,0.01,0.01,0.03,0.08,0.08,Matches
1771,Martín Merquelanz\ddd5348b,es ESP,FW,Rayo Vallecano,es La Liga,26,1995,1.9,0,1.05,0,0,1.04,0,0,,20,0.53,0,0,0.05,0.05,0.07,-0.05,-0.05,Matches
1772,Yıldırım Mert Çetin\c730da00,tr TUR,DF,Hellas Verona,it Serie A,24,1997,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1773,Dries Mertens\89b2c8a9,be BEL,FWMF,Napoli,it Serie A,34,1987,15.4,0.71,2.86,1.23,43.2,2.86,1.24,0.23,0.53,18.2,0.26,0.06,0.06,0.3,0.25,0.09,0.42,0.4,Matches
1774,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,eng Premier League,21,2000,37.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1775,Lionel Messi\d70ce98e,ar ARG,FWMF,Paris S-G,fr Ligue 1,34,1987,23.9,0.25,3.72,1.17,31.5,3.72,1.17,0.07,0.21,18,0.67,0,0,0.42,0.42,0.11,-0.17,-0.17,Matches
1776,Junior Messias\f49c4ae9,br BRA,FWMF,Milan,it Serie A,30,1991,15.9,0.31,2.77,1.07,38.6,2.77,1.07,0.11,0.29,17.4,0,0,0,0.23,0.23,0.08,0.09,0.09,Matches
1777,Thomas Meunier\e162b013,be BEL,DF,Dortmund,de Bundesliga,29,1991,15.6,0.13,1.22,0.38,31.6,1.22,0.39,0.11,0.33,14.1,0,0,0,0.08,0.08,0.07,0.04,0.04,Matches
1778,Mexer\ce492295,mz MOZ,DF,Bordeaux,fr Ligue 1,32,1988,13.6,0.07,0.37,0.07,20,0.37,0.07,0.2,1,15.7,0,0,0,0.03,0.03,0.07,0.04,0.04,Matches
1779,Marco Meyerhöfer\0b104510,de GER,DF,Greuther Fürth,de Bundesliga,25,1995,25.3,0.04,0.4,0.08,20,0.39,0.08,0.1,0.5,17.1,0,0,0,0.04,0.04,0.09,0,0,Matches
1780,Matt Miazga\9fc0f253,us USA,DF,Alavés,es La Liga,26,1995,9.3,0,0.75,0.32,42.9,0.76,0.32,0,0,11.9,0,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
1781,Kingsley Michael\e63e122d,ng NGA,MF,Bologna,it Serie A,21,1999,0.8,0,1.25,1.25,100,1.18,1.18,0,0,37.9,0,0,0,0,0,0.01,0,0,Matches
1782,Sven Michel\1e274a0a,de GER,FW,Union Berlin,de Bundesliga,31,1990,3.8,0.79,2.37,0.79,33.3,2.4,0.8,0.33,1,16.2,0,0,0,0.42,0.42,0.17,0.37,0.37,Matches
1783,Edouard Michut\fe6c1add,fr FRA,MF,Paris S-G,fr Ligue 1,18,2003,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1784,Miguel\6763373d,es ESP,FWMF,Alavés,es La Liga,21,1999,9.2,0.11,2.39,0.43,18.2,2.39,0.43,0.05,0.25,14.1,0,0,0,0.23,0.23,0.1,-0.12,-0.12,Matches
1785,Valentin Mihaila\81a4c239,ro ROU,FWMF,Atalanta,it Serie A,21,2000,0.8,0,1.25,1.25,100,1.18,1.18,0,0,21.3,0,0,0,0,0,0.03,0,0,Matches
1786,Mikael\33502726,br BRA,FWMF,Salernitana,it Serie A,22,1999,1,0,3,0,0,3.1,0,0,,14.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
1787,Hilmir Mikaelsson\5add9b29,is ISL,FW,Venezia,it Serie A,17,2004,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1788,Georges Mikautadze\4788cb6b,ge GEO,FW,Metz,fr Ligue 1,20,2000,0,0,2,0,0,180,0,0,,19.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
1789,William Mikelbrencis\14df1d7f,fr FRA,DF,Metz,fr Ligue 1,17,2004,6.8,0,0.88,0.15,16.7,0.89,0.15,0,0,26.2,0,0,0,0.01,0.01,0.02,-0.01,-0.01,Matches
1790,Nikola Milenković\bee704fc,rs SRB,DF,Fiorentina,it Serie A,23,1997,32.5,0.03,0.71,0.28,39.1,0.71,0.28,0.04,0.11,15,0,0,0,0.06,0.06,0.09,-0.03,-0.03,Matches
1791,Arkadiusz Milik\85613cf0,pl POL,FW,Marseille,fr Ligue 1,27,1994,15.7,0.45,3.38,1.21,35.8,3.37,1.21,0.11,0.32,13.2,0.13,0.06,0.06,0.48,0.43,0.13,-0.04,-0.05,Matches
1792,Sergej Milinković-Savić\4e6dbac4,rs SRB,MF,Lazio,it Serie A,26,1995,34.4,0.32,2.18,0.9,41.3,2.18,0.9,0.15,0.35,16.4,0.2,0,0,0.21,0.21,0.1,0.11,0.11,Matches
1793,Vanja Milinković-Savić\9fa26bc2,rs SRB,GK,Torino,it Serie A,24,1997,27,0,0.04,0,0,0.04,0,0,,7.8,0,0,0,0,0,0.08,0,0,Matches
1794,Éder Militão\2784f898,br BRA,DF,Real Madrid,es La Liga,23,1998,33.7,0.03,0.95,0.24,25,0.95,0.24,0.03,0.13,16.7,0,0,0,0.08,0.08,0.08,-0.05,-0.05,Matches
1795,Luka Milivojević\2ce2508a,rs SRB,MF,Crystal Palace,eng Premier League,30,1991,8.6,0,0.93,0,0,0.93,0,0,,26.6,0.47,0,0,0.02,0.02,0.03,-0.02,-0.02,Matches
1796,Luis Milla\19c36442,es ESP,MF,Granada,es La Liga,26,1994,29.9,0.1,0.64,0.1,15.8,0.63,0.1,0,0,24,0.1,0.1,0.1,0.12,0.04,0.07,-0.02,-0.04,Matches
1797,Pere Milla\335039a2,es ESP,FWMF,Elche,es La Liga,28,1992,18.3,0.44,1.58,0.77,48.3,1.59,0.77,0.28,0.57,12.5,0,0,0,0.24,0.24,0.15,0.2,0.2,Matches
1798,Enzo Millot\f76022e7,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1799,James Milner\2f90f6b8,eng ENG,MFDF,Liverpool,eng Premier League,35,1986,9.5,0,1.05,0.21,20,1.06,0.21,0,0,22.8,0,0,0,0.03,0.03,0.03,-0.03,-0.03,Matches
1800,Santi Mina\0b90bb97,es ESP,FW,Celta Vigo,es La Liga,25,1995,26.3,0.27,2.24,0.8,35.6,2.24,0.8,0.12,0.33,14.4,0.04,0,0.04,0.3,0.27,0.12,-0.03,0,Matches
1801,Yerry Mina\6d5701f2,co COL,DF,Everton,eng Premier League,26,1994,9.4,0,0.64,0.11,16.7,0.64,0.11,0,0,9.2,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
1802,Takumi Minamino\f833a830,jp JPN,FWMF,Liverpool,eng Premier League,26,1995,2.1,1.43,3.33,1.9,57.1,3.39,1.94,0.43,0.75,13.5,0,0,0,0.86,0.86,0.26,0.57,0.57,Matches
1803,Tyrone Mings\8397a50c,eng ENG,DF,Aston Villa,eng Premier League,28,1993,35.4,0.03,0.59,0.14,23.8,0.59,0.14,0.05,0.2,12.4,0,0,0,0.04,0.04,0.07,-0.01,-0.01,Matches
1804,Óscar Mingueza\056269d7,es ESP,DF,Barcelona,es La Liga,22,1999,9.9,0,0.2,0.1,50,0.2,0.1,0,0,7.6,0,0,0,0.02,0.02,0.09,-0.02,-0.02,Matches
1805,Rafa Mir\bbf5c11b,es ESP,FW,Sevilla,es La Liga,24,1997,20.1,0.5,3.03,1.09,36.1,3.04,1.1,0.16,0.45,12.3,0,0,0,0.38,0.38,0.12,0.12,0.12,Matches
1806,Jorge Miramón\7f4c7c9f,es ESP,DF,Levante,es La Liga,32,1989,22,0.05,0.32,0.09,28.6,0.32,0.09,0.14,0.5,18.1,0,0,0,0.03,0.03,0.1,0.01,0.01,Matches
1807,Aleksei Miranchuk\a9aa0d1d,ru RUS,MFFW,Atalanta,it Serie A,25,1995,8.6,0.23,1.63,0.47,28.6,1.63,0.47,0.14,0.5,17,0,0,0,0.19,0.19,0.11,0.05,0.05,Matches
1808,Juan Miranda\ead61f73,es ESP,DF,Betis,es La Liga,21,2000,8.7,0,0.69,0.23,33.3,0.69,0.23,0,0,27.7,0.23,0,0,0.01,0.01,0.02,-0.01,-0.01,Matches
1809,Fabio Miretti\34693494,it ITA,MF,Juventus,it Serie A,17,2003,3.6,0,0.56,0,0,0.56,0,0,,15.2,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
1810,Tyrick Mitchell\5cbd1eb0,eng ENG,DF,Crystal Palace,eng Premier League,21,1999,34.5,0,0.14,0.03,20,0.15,0.03,0,0,15.4,0,0,0,0.01,0.01,0.07,-0.01,-0.01,Matches
1811,Stefan Mitrović\e6777e6b,rs SRB,DF,Getafe,es La Liga,31,1990,29.6,0.03,0.17,0.03,20,0.17,0.03,0.2,1,11.4,0,0,0,0.01,0.01,0.03,0.03,0.03,Matches
1812,Maximilian Mittelstädt\88d4144a,de GER,DFFW,Hertha BSC,de Bundesliga,24,1997,16.6,0,0.6,0,0,0.6,0,0,,21.4,0,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
1813,Henrikh Mkhitaryan\dd0daf32,am ARM,MFFW,Roma,it Serie A,32,1989,27.7,0.18,1.99,0.54,27.3,1.98,0.54,0.09,0.33,20.2,0,0,0,0.14,0.14,0.07,0.04,0.04,Matches
1814,Jakub Moder\f230bc30,pl POL,MFFW,Brighton,eng Premier League,22,1999,18.9,0,1.48,0.32,21.4,1.48,0.32,0,0,16.5,0.11,0,0,0.13,0.13,0.09,-0.13,-0.13,Matches
1815,Anthony Modeste\34e4343c,fr FRA,FW,Köln,de Bundesliga,33,1988,29,0.69,3.69,1.48,40.2,3.7,1.49,0.18,0.44,11.5,0,0.03,0.03,0.6,0.57,0.15,0.09,0.09,Matches
1816,Marco Modolo\fdcdb521,it ITA,DF,Venezia,it Serie A,32,1989,4.4,0,0.23,0.23,100,0.23,0.23,0,0,7,0,0,0,0.02,0.02,0.1,-0.02,-0.02,Matches
1817,Luka Modrić\6025fab1,hr CRO,MF,Real Madrid,es La Liga,35,1985,22.6,0.09,1.19,0.44,37,1.2,0.44,0.04,0.1,20.1,0.04,0.04,0.04,0.12,0.09,0.07,-0.03,-0.04,Matches
1818,Terem Moffi\065dc209,ng NGA,FW,Lorient,fr Ligue 1,22,1999,30.1,0.27,1.93,0.66,34.5,1.93,0.66,0.1,0.3,15.1,0,0.07,0.07,0.4,0.35,0.18,-0.13,-0.15,Matches
1819,Kevin Möhwald\a5ce09f2,de GER,MF,Union Berlin,de Bundesliga,28,1993,3.9,0,2.56,0.51,20,2.54,0.51,0,0,20.9,0,0,0,0.13,0.13,0.05,-0.13,-0.13,Matches
1820,Dion Moise Sahi\cdc4458b,ci CIV,FWMF,Strasbourg,fr Ligue 1,19,2001,1.4,0,3.57,1.43,40,3.52,1.41,0,0,11.8,0,0,0,0.57,0.57,0.16,-0.57,-0.57,Matches
1821,Johan Mojica\608f2092,co COL,DF,Elche,es La Liga,28,1992,31.7,0.06,0.5,0.13,25,0.5,0.13,0.13,0.5,23.8,0,0,0,0.02,0.02,0.04,0.04,0.04,Matches
1822,Clinton Mola\29ddfb9c,eng ENG,DF,Stuttgart,de Bundesliga,20,2001,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1823,Jorge Molina\43f71e77,es ESP,FW,Granada,es La Liga,39,1982,21.8,0.46,2.06,1.01,48.9,2.06,1.01,0.22,0.45,13.1,0,0,0.05,0.28,0.24,0.12,0.18,0.22,Matches
1824,Nahuel Molina\23610943,ar ARG,DF,Udinese,it Serie A,23,1997,29.3,0.24,1.54,0.55,35.6,1.54,0.55,0.16,0.44,20.4,0.07,0,0,0.14,0.14,0.09,0.1,0.1,Matches
1825,Cristian Molinaro\1c8c5aed,it ITA,DF,Venezia,it Serie A,38,1983,6.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1826,Florent Mollet\7e82a78f,fr FRA,FWMF,Montpellier,fr Ligue 1,29,1991,29.2,0.21,1.88,0.58,30.9,1.88,0.58,0.11,0.35,21.2,0.41,0,0,0.17,0.17,0.09,0.03,0.03,Matches
