,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
1438,Tim Krul\f23f9d20,nl NED,GK,Norwich City,eng Premier League,33,1988,29,5,0.17,3,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1439,Rade Krunić\817c6964,ba BIH,MFFW,Milan,it Serie A,27,1993,15.7,38,2.42,29,1,1,3,2,2,4,0.25,1,0,0,2,0,1,Matches
1440,Max Kruse\f9446dcd,de GER,FWMF,Wolfsburg,de Bundesliga,33,1988,12.5,26,2.07,21,0,2,2,1,0,3,0.24,2,0,0,0,1,0,Matches
1441,Max Kruse\f9446dcd,de GER,FWMF,Union Berlin,de Bundesliga,33,1988,14.1,55,3.9,39,5,2,7,1,1,10,0.71,7,0,0,3,0,0,Matches
1442,Lukas Kübler\2a29eb9b,de GER,DF,Freiburg,de Bundesliga,28,1992,25.9,28,1.08,23,1,0,1,2,1,2,0.08,2,0,0,0,0,0,Matches
1443,Takefusa Kubo\16aa3654,jp JPN,FWMF,Mallorca,es La Liga,20,2001,17.8,69,3.87,43,6,5,2,12,1,4,0.22,3,0,0,0,1,0,Matches
1444,Juraj Kucka\5aaef9ef,sk SVK,MF,Watford,eng Premier League,34,1987,21.3,37,1.73,23,0,5,2,5,2,2,0.09,1,0,0,0,1,0,Matches
1445,Mykola Kukharevych\8197a269,ua UKR,FW,Troyes,fr Ligue 1,20,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1446,Dejan Kulusevski\df3cda47,se SWE,MFFW,Tottenham,eng Premier League,21,2000,14,47,3.35,35,0,6,5,1,0,14,1,10,0,3,1,0,0,Matches
1447,Dejan Kulusevski\df3cda47,se SWE,FWMF,Juventus,it Serie A,21,2000,8.6,23,2.68,15,0,3,2,2,1,5,0.58,3,0,2,0,0,0,Matches
1448,Marash Kumbulla\a40819d9,al ALB,DF,Roma,it Serie A,21,2000,11.4,4,0.35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1449,Fabian Kunze\d25fee56,de GER,MF,Arminia,de Bundesliga,23,1998,14,15,1.07,10,0,2,0,3,0,0,0,0,0,0,0,0,0,Matches
1450,Enock Kwateng\4bf69118,fr FRA,DF,Bordeaux,fr Ligue 1,24,1997,22.2,27,1.21,22,3,1,0,0,1,0,0,0,0,0,0,0,0,Matches
1451,Grejohn Kyei\397ba086,fr FRA,FW,Clermont Foot,fr Ligue 1,25,1995,4.4,11,2.5,9,0,0,1,1,0,1,0.23,1,0,0,0,0,0,Matches
1452,Giorgos Kyriakopoulos\0a483542,gr GRE,DFFW,Sassuolo,it Serie A,25,1996,21.9,58,2.64,42,4,6,0,5,1,10,0.46,7,1,0,0,2,0,Matches
1453,Andrea La Mantia\c375dfa5,it ITA,FW,Empoli,it Serie A,30,1991,5.4,11,2.03,9,0,0,1,1,0,1,0.18,0,0,0,0,1,0,Matches
1454,Gaëtan Laborde\7cdda3bf,fr FRA,FW,Montpellier,fr Ligue 1,27,1994,3.8,8,2.11,5,0,1,1,0,1,0,0,0,0,0,0,0,0,Matches
1455,Gaëtan Laborde\7cdda3bf,fr FRA,FW,Rennes,fr Ligue 1,27,1994,30.3,73,2.41,55,1,2,12,1,2,18,0.59,14,0,1,3,0,0,Matches
1456,Alexandre Lacazette\9dbb75ca,fr FRA,FWMF,Arsenal,eng Premier League,30,1991,19.8,65,3.28,43,0,7,4,9,2,9,0.45,6,0,0,1,1,1,Matches
1457,Tom Lacoux\295ba708,fr FRA,DFMF,Bordeaux,fr Ligue 1,19,2002,10.1,12,1.19,6,1,0,0,2,3,3,0.3,1,1,0,0,0,1,Matches
1458,Lenny Lacroix\5413ef36,fr FRA,DF,Metz,fr Ligue 1,18,2003,2.2,2,0.9,1,0,0,1,0,0,1,0.45,0,0,0,1,0,0,Matches
1459,Maxence Lacroix\277c49ed,fr FRA,DF,Wolfsburg,de Bundesliga,21,2000,27.7,22,0.79,17,1,0,2,0,2,0,0,0,0,0,0,0,0,Matches
1460,Alban Lafont\4e7db402,fr FRA,GK,Nantes,fr Ligue 1,22,1999,38,2,0.05,1,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
1461,Víctor Laguardia\b7c99b9b,es ESP,DF,Alavés,es La Liga,31,1989,33.8,7,0.21,3,3,0,1,0,0,2,0.06,0,1,0,1,0,0,Matches
1462,Konrad Laimer\c1b7847c,at AUT,MF,RB Leipzig,de Bundesliga,24,1997,13.8,33,2.4,27,0,3,2,1,0,6,0.44,4,0,1,1,0,0,Matches
1463,Stefan Lainer\4aea5077,at AUT,DF,M'Gladbach,de Bundesliga,28,1992,16.3,32,1.96,27,0,1,0,4,0,7,0.43,5,0,1,0,1,0,Matches
1464,Diego Lainez\bf12926c,mx MEX,FW,Betis,es La Liga,21,2000,1.6,4,2.57,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
1465,Adam Lallana\99813635,eng ENG,MF,Brighton,eng Premier League,33,1988,17.3,27,1.56,23,0,1,0,2,1,3,0.17,3,0,0,0,0,0,Matches
1466,Vassilis Lambropoulos\591477c9,gr GRE,DF,Bochum,de Bundesliga,31,1990,13,6,0.46,5,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
1467,Érik Lamela\abe66106,ar ARG,FW,Sevilla,es La Liga,29,1992,11.3,35,3.1,31,1,1,0,1,1,4,0.35,4,0,0,0,0,0,Matches
1468,Didier Lamkel Zé\b229aa13,cm CMR,FW,Metz,fr Ligue 1,24,1996,6.7,15,2.23,9,0,2,1,3,0,0,0,0,0,0,0,0,0,Matches
1469,Sam Lammers\c283ddef,nl NED,FW,Eint Frankfurt,de Bundesliga,24,1997,5.7,7,1.22,6,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
1470,Sam Lammers\c283ddef,nl NED,FW,Atalanta,it Serie A,24,1997,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1471,Tariq Lamptey\f4e433d4,eng ENG,DFFW,Brighton,eng Premier League,20,2000,17.3,47,2.71,33,0,4,3,4,3,2,0.12,2,0,0,0,0,0,Matches
1472,Manuel Lanzini\26f6dca8,ar ARG,MFFW,West Ham,eng Premier League,28,1993,19.8,55,2.77,45,5,2,0,2,1,10,0.5,6,1,1,0,1,1,Matches
1473,Aymeric Laporte\119b9a8e,es ESP,DF,Manchester City,eng Premier League,27,1994,31.4,30,0.95,26,0,0,3,1,0,4,0.13,2,0,0,1,1,0,Matches
1474,Julien Laporte\f066022d,fr FRA,DF,Lorient,fr Ligue 1,27,1993,32.1,10,0.31,8,1,0,0,0,1,1,0.03,1,0,0,0,0,0,Matches
1475,Yasser Larouci\0ed063d6,dz ALG,DF,Troyes,fr Ligue 1,20,2001,3.8,11,2.9,6,0,1,0,3,1,1,0.26,0,0,0,0,1,0,Matches
1476,Kevin Lasagna\09538fdb,it ITA,FWMF,Hellas Verona,it Serie A,28,1992,13.2,32,2.43,21,0,2,5,2,2,7,0.53,6,0,0,0,1,0,Matches
1477,Jamaal Lascelles\450ab6fc,eng ENG,DF,Newcastle Utd,eng Premier League,27,1993,22.9,6,0.26,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
1478,Bryan Lasme\ebac0ace,fr FRA,FW,Arminia,de Bundesliga,22,1998,9.7,19,1.95,14,0,2,1,2,0,0,0,0,0,0,0,0,0,Matches
1479,Paul Lasne\542cc80f,fr FRA,MF,Brest,fr Ligue 1,32,1989,9.4,19,2.02,14,1,0,0,2,2,2,0.21,1,1,0,0,0,0,Matches
1480,Latasa\2bea832e,es ESP,FW,Real Madrid,es La Liga,20,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1481,Toni Lato\8e088e04,es ESP,DFMF,Valencia,es La Liga,23,1997,6.6,10,1.53,9,0,0,0,1,0,1,0.15,1,0,0,0,0,0,Matches
1482,Armand Lauriente\2d22cea7,fr FRA,FWMF,Lorient,fr Ligue 1,22,1998,27.5,85,3.09,52,5,8,11,6,3,7,0.25,3,0,2,2,0,0,Matches
1483,Darko Lazović\5128bde4,rs SRB,DF,Hellas Verona,it Serie A,30,1990,30.7,75,2.44,65,4,3,3,0,0,9,0.29,9,0,0,0,0,0,Matches
1484,Manuel Lazzari\02caf6e0,it ITA,DF,Lazio,it Serie A,27,1993,18.5,33,1.78,22,2,4,0,3,2,12,0.65,6,1,2,0,2,1,Matches
1485,Théo Le Bris\afe39ca8,fr FRA,MF,Lorient,fr Ligue 1,18,2002,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1486,Jérémy Le Douaron\88c4d190,fr FRA,FW,Brest,fr Ligue 1,23,1998,16.1,22,1.37,18,0,0,1,2,1,3,0.19,3,0,0,0,0,0,Matches
1487,Enzo Le Fée\6f806d99,fr FRA,MFFW,Lorient,fr Ligue 1,21,2000,24.4,93,3.81,54,24,3,3,5,4,4,0.16,2,1,0,0,1,0,Matches
1488,Vincent Le Goff\2321ea6e,fr FRA,DF,Lorient,fr Ligue 1,31,1989,34,60,1.76,49,5,1,2,1,2,5,0.15,4,0,0,1,0,0,Matches
1489,Maxime Le Marchand\321a71a7,fr FRA,DF,Strasbourg,fr Ligue 1,31,1989,9.6,4,0.42,3,0,0,0,0,1,1,0.1,1,0,0,0,0,0,Matches
1490,Robin Le Normand\9a64e67e,fr FRA,DF,Real Sociedad,es La Liga,24,1996,37,6,0.16,3,1,0,2,0,0,2,0.05,2,0,0,0,0,0,Matches
1491,Patrick Leal\d97ec0d1,us USA,MF,Venezia,it Serie A,18,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1492,Rafael Leão\20730eae,pt POR,FW,Milan,it Serie A,22,1999,28.9,105,3.63,63,0,24,7,7,4,21,0.73,14,0,5,0,1,1,Matches
1493,Jean-Louis Leca\edbe46dc,fr FRA,GK,Lens,fr Ligue 1,35,1985,25.7,1,0.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1494,Jeremías Ledesma\6c4776b1,ar ARG,GK,Cádiz,es La Liga,28,1993,38,5,0.13,3,1,0,0,1,0,0,0,0,0,0,0,0,0,Matches
1495,Pierre Lees-Melou\f5044e54,fr FRA,MF,Norwich City,eng Premier League,28,1993,25.2,52,2.07,44,1,1,1,1,4,1,0.04,0,0,0,0,1,0,Matches
1496,Wu Lei\e3fabb0a,cn CHN,FWMF,Espanyol,es La Liga,29,1991,5.3,11,2.09,10,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
1497,Maxim Leitsch\7e12a98d,de GER,DF,Bochum,de Bundesliga,23,1998,17.1,8,0.47,6,0,0,1,0,1,2,0.12,2,0,0,0,0,0,Matches
1498,Lucas Leiva\4c78b5ed,br BRA,MF,Lazio,it Serie A,34,1987,18.9,21,1.11,16,1,0,0,1,3,4,0.21,3,0,0,0,0,1,Matches
1499,Florian Lejeune\6eaed4eb,fr FRA,DF,Alavés,es La Liga,30,1991,30,10,0.33,8,1,0,0,0,1,1,0.03,1,0,0,0,0,0,Matches
1500,Iñigo Lekue\59b7d823,es ESP,DF,Athletic Club,es La Liga,28,1993,21.4,32,1.5,23,6,1,1,0,1,4,0.19,2,0,1,0,0,1,Matches
1501,Thomas Lemar\4dbd0916,fr FRA,MF,Atlético Madrid,es La Liga,25,1995,16,62,3.87,44,7,3,5,3,0,11,0.69,7,1,1,2,0,0,Matches
1502,Félix Lemaréchal\8ca9415f,ci CIV,MF,Monaco,fr Ligue 1,17,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1503,Mario Lemina\2b471f99,ga GAB,MF,Nice,fr Ligue 1,27,1993,21.9,27,1.24,23,0,0,0,3,1,3,0.14,2,0,0,0,1,0,Matches
1504,Fabien Lemoine\54d51e22,fr FRA,MF,Lorient,fr Ligue 1,34,1987,12.4,18,1.45,17,1,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
1505,Tim Lemperle\792ffa71,de GER,FWMF,Köln,de Bundesliga,19,2002,1.7,11,6.64,9,0,0,1,0,1,0,0,0,0,0,0,0,0,Matches
1506,Ruben Lendinez\755da865,es ESP,DF,Valencia,es La Liga,18,2003,1.5,2,1.31,1,0,0,1,0,0,1,0.66,1,0,0,0,0,0,Matches
1507,Clément Lenglet\4f28a6ff,fr FRA,DF,Barcelona,es La Liga,26,1995,9.2,6,0.65,6,0,0,0,0,0,2,0.22,2,0,0,0,0,0,Matches
1508,Aaron Lennon\2ff964a0,eng ENG,MF,Burnley,eng Premier League,34,1987,17.2,32,1.86,20,0,5,1,6,0,5,0.29,1,0,2,0,2,0,Matches
1509,Bernd Leno\2628fd2b,de GER,GK,Arsenal,eng Premier League,29,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1510,Christopher Lenz\bbd86530,de GER,DF,Eint Frankfurt,de Bundesliga,26,1994,7.4,20,2.71,12,8,0,0,0,0,1,0.14,0,1,0,0,0,0,Matches
1511,Léo Leroy\fcc84a07,fr FRA,MF,Montpellier,fr Ligue 1,21,2000,7,8,1.15,7,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1512,Alexandre Letellier\96fcd380,fr FRA,GK,Paris S-G,fr Ligue 1,30,1990,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1513,Robert Lewandowski\8d78e732,pl POL,FW,Bayern Munich,de Bundesliga,32,1988,32.7,104,3.18,67,1,13,12,9,2,15,0.46,10,0,1,3,1,0,Matches
1514,Jamie Leweling\13fe7b69,de GER,FWDF,Greuther Fürth,de Bundesliga,20,2001,21.8,40,1.84,21,1,5,3,7,3,2,0.09,1,0,0,0,1,0,Matches
1515,Jamal Lewis\efb9215a,nir NIR,DF,Newcastle Utd,eng Premier League,23,1998,2.9,2,0.69,2,0,0,0,0,0,1,0.34,1,0,0,0,0,0,Matches
1516,Luca Lezzerini\c9c32262,it ITA,GK,Venezia,it Serie A,26,1995,5.5,1,0.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1517,Ben Lhassine Kone\7452c7a8,ci CIV,MF,Torino,it Serie A,21,2000,0.9,2,2.22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1518,Yanis Lhery\cc972842,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,18,2003,0.8,1,1.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
1519,Dimitri Liénard\f7691f63,fr FRA,DFMF,Strasbourg,fr Ligue 1,33,1988,22.7,62,2.73,33,23,0,3,2,1,7,0.31,5,0,0,1,1,0,Matches
1520,Philipp Lienhart\302527b2,at AUT,DF,Freiburg,de Bundesliga,25,1996,31.9,15,0.47,10,0,0,4,1,0,1,0.03,0,0,0,1,0,0,Matches
1521,Matthijs de Ligt\d6e53a3a,nl NED,DF,Juventus,it Serie A,21,1999,29.7,19,0.64,13,0,0,2,1,3,1,0.03,1,0,0,0,0,0,Matches
1522,Isaac Lihadji\57a46f3f,fr FRA,MFFW,Lille,fr Ligue 1,19,2002,2.6,19,7.18,13,1,2,1,2,0,4,1.51,3,0,0,0,1,0,Matches
1523,Anderson Lima\59be3a74,br BRA,MF,Lazio,it Serie A,21,1999,0.7,1,1.38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
1524,Andreas Linde\4d6a842d,se SWE,GK,Greuther Fürth,de Bundesliga,28,1993,12,2,0.17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1525,Victor Lindelöf\f5deef4c,se SWE,DF,Manchester Utd,eng Premier League,27,1994,26.2,10,0.38,10,0,0,0,0,0,3,0.11,3,0,0,0,0,0,Matches
1526,Jesper Lindstrøm\37dc1a48,dk DEN,FWMF,Eint Frankfurt,de Bundesliga,21,2000,22,75,3.42,48,9,8,4,3,3,4,0.18,2,1,0,1,0,0,Matches
1527,Karol Linetty\d023d70f,pl POL,MFFW,Torino,it Serie A,26,1995,10,35,3.52,28,2,1,3,0,1,2,0.2,2,0,0,0,0,0,Matches
1528,Jesse Lingard\810e3c74,eng ENG,FWMF,Manchester Utd,eng Premier League,28,1992,4.1,15,3.68,12,0,0,2,1,0,1,0.25,0,0,0,1,0,0,Matches
1529,Pol Lirola\ff800ed8,es ESP,DFMF,Marseille,fr Ligue 1,23,1997,19.7,47,2.39,43,2,1,1,0,0,4,0.2,4,0,0,0,0,0,Matches
1530,Valentino Livramento\afed6722,eng ENG,DF,Southampton,eng Premier League,18,2002,24.5,40,1.63,37,0,1,0,2,0,2,0.08,1,0,0,0,1,0,Matches
1531,Dejan Ljubicic\c455a2b2,at AUT,MFFW,Köln,de Bundesliga,23,1997,21.9,70,3.2,59,0,3,4,2,2,5,0.23,4,0,0,1,0,0,Matches
1532,Javier Llabrés\38b0cf42,,FWMF,Mallorca,es La Liga,,,1.5,4,2.73,2,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
1533,Diego Llorente\bba30585,es ESP,DF,Leeds United,eng Premier League,27,1993,26,6,0.23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1534,Marcos Llorente\02c15616,es ESP,DFMF,Atlético Madrid,es La Liga,26,1995,27.2,41,1.51,37,2,1,0,1,0,4,0.15,4,0,0,0,0,0,Matches
1535,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,eng Premier League,34,1986,38,6,0.16,6,0,0,0,0,0,2,0.05,2,0,0,0,0,0,Matches
1536,Giovani Lo Celso\d7553721,ar ARG,MFFW,Tottenham,eng Premier League,25,1996,2.6,10,3.78,5,2,0,1,2,0,0,0,0,0,0,0,0,0,Matches
1537,Giovani Lo Celso\d7553721,ar ARG,MFFW,Villarreal,es La Liga,25,1996,11,35,3.17,24,4,2,3,2,0,2,0.18,0,1,0,0,1,0,Matches
1538,Julen Lobete\a952a529,es ESP,FWMF,Real Sociedad,es La Liga,20,2000,3.2,3,0.95,1,0,0,0,2,0,1,0.32,0,0,0,0,1,0,Matches
1539,Stanislav Lobotka\e1cbb531,sk SVK,MF,Napoli,it Serie A,26,1994,18.7,33,1.76,31,0,0,0,2,0,2,0.11,1,0,0,0,1,0,Matches
1540,Jürgen Locadia\6cc47ae1,nl NED,FW,Brighton,eng Premier League,27,1993,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1541,Jürgen Locadia\6cc47ae1,nl NED,FWMF,Bochum,de Bundesliga,27,1993,4.9,20,4.05,12,0,1,4,2,1,4,0.81,3,0,0,1,0,0,Matches
1542,Manuel Locatelli\a8a874f1,it ITA,MF,Juventus,it Serie A,23,1998,24,57,2.37,52,0,1,3,0,1,9,0.37,8,0,0,1,0,0,Matches
1543,Banzouzi Locko\40221fa7,fr FRA,DFMF,Reims,fr Ligue 1,19,2002,11.2,17,1.51,13,1,1,0,0,2,6,0.53,5,1,0,0,0,0,Matches
1544,Renan Lodi\ed9f7cfe,br BRA,DF,Atlético Madrid,es La Liga,23,1998,13.1,18,1.37,17,0,0,0,1,0,2,0.15,2,0,0,0,0,0,Matches
1545,Ruben Loftus-Cheek\e97fd090,eng ENG,MFDF,Chelsea,eng Premier League,25,1996,15.5,52,3.36,39,0,3,4,3,3,7,0.45,4,0,0,2,0,1,Matches
1546,Kevin Long\5a4280b1,ie IRL,DF,Burnley,eng Premier League,30,1990,4.6,1,0.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1547,Shane Long\9f472354,ie IRL,FW,Southampton,eng Premier League,34,1987,3.4,5,1.46,2,0,0,0,3,0,0,0,0,0,0,0,0,0,Matches
1548,Sean Longstaff\a2b105e0,eng ENG,MF,Newcastle Utd,eng Premier League,23,1997,16.3,24,1.48,20,1,0,1,0,2,4,0.25,3,0,0,0,0,1,Matches
1549,Ademola Lookman\7c104bb7,ng NGA,FWMF,Leicester City,eng Premier League,23,1997,16.1,40,2.48,30,1,4,2,2,1,2,0.12,1,0,0,0,1,0,Matches
1550,Anthony Lopes\f00de885,pt POR,GK,Lyon,fr Ligue 1,30,1990,33.1,5,0.15,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
1551,David López\f03f284b,es ESP,MFDF,Espanyol,es La Liga,31,1989,8.3,12,1.45,10,1,0,1,0,0,1,0.12,1,0,0,0,0,0,Matches
1552,Diego López\73683fa9,es ESP,GK,Espanyol,es La Liga,39,1981,35.3,2,0.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1553,Javi López\e9ada8cf,es ESP,DF,Alavés,es La Liga,19,2002,5.1,6,1.17,4,1,1,0,0,0,1,0.19,1,0,0,0,0,0,Matches
1554,Maxime Lopez\20094685,fr FRA,MF,Sassuolo,it Serie A,23,1997,32.6,93,2.85,82,0,5,2,1,3,7,0.21,7,0,0,0,0,0,Matches
1555,Pau López\20b9f052,es ESP,GK,Marseille,fr Ligue 1,26,1994,29,4,0.14,3,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
1556,Unai López\88050721,es ESP,MF,Rayo Vallecano,es La Liga,25,1995,12.9,46,3.57,30,9,2,1,3,1,2,0.16,1,1,0,0,0,0,Matches
1557,Dion Lopy\64c14d49,sn SEN,MF,Reims,fr Ligue 1,19,2002,18.2,22,1.21,17,1,4,0,0,0,1,0.05,1,0,0,0,0,0,Matches
1558,Samuel Loric\9004f318,fr FRA,DF,Lorient,fr Ligue 1,21,2000,3,2,0.67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
1559,Anthony Losilla\07c7eb0c,fr FRA,MF,Bochum,de Bundesliga,35,1986,32.6,39,1.2,30,0,1,4,1,3,1,0.03,1,0,0,0,0,0,Matches
1560,Jonas Lössl\939bc634,dk DEN,GK,Brentford,eng Premier League,32,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1561,Marcel Lotka\5584552e,pl POL,GK,Hertha BSC,de Bundesliga,20,2001,9.8,1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1562,Jordan Lotomba\fc4cf6a7,ch SUI,DF,Nice,fr Ligue 1,22,1998,19.8,32,1.62,26,1,4,1,0,0,3,0.15,3,0,0,0,0,0,Matches
1563,Johaneko Louisjean\9af3613f,fr FRA,DF,Bordeaux,fr Ligue 1,17,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1564,Imran Louza\e1df6989,ma MAR,MF,Watford,eng Premier League,22,1999,15.7,30,1.91,13,11,1,2,1,2,1,0.06,1,0,0,0,0,0,Matches
1565,Matteo Lovato\5fa57166,it ITA,DFMF,Atalanta,it Serie A,21,2000,3.4,3,0.89,3,0,0,0,0,0,1,0.3,1,0,0,0,0,0,Matches
1566,Matteo Lovato\5fa57166,it ITA,DF,Cagliari,it Serie A,21,2000,13.8,5,0.36,4,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
1567,Eduard Löwen\70678132,de GER,MF,Bochum,de Bundesliga,24,1997,15.7,59,3.75,34,18,0,5,2,0,3,0.19,0,2,0,1,0,0,Matches
1568,Matthew Lowton\9a9c05db,eng ENG,DF,Burnley,eng Premier League,32,1989,19.7,33,1.68,25,4,0,1,2,1,2,0.1,1,0,0,1,0,0,Matches
1569,Anthony Lozano\38699c72,hn HON,FWMF,Cádiz,es La Liga,28,1993,18.6,36,1.94,20,0,3,6,6,1,9,0.48,3,0,1,2,2,1,Matches
1570,Hirving Lozano\a69e4806,mx MEX,FW,Napoli,it Serie A,26,1995,17.9,59,3.29,48,0,4,2,4,1,11,0.61,8,0,1,0,2,0,Matches
1571,Jean Lucas\a99138af,br BRA,MF,Monaco,fr Ligue 1,23,1998,16.1,35,2.18,16,10,6,1,0,2,2,0.12,2,0,0,0,0,0,Matches
1572,Anderson Lucoqui\5569bf9a,ao ANG,DF,Mainz 05,de Bundesliga,24,1997,8.3,12,1.45,10,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
1573,José Luis Gayà\b05e2dbd,es ESP,DF,Valencia,es La Liga,26,1995,20.8,39,1.88,33,3,0,0,1,2,8,0.38,7,0,0,0,1,0,Matches
1574,José Luis Morales\4a478107,es ESP,FWMF,Levante,es La Liga,34,1987,30.2,100,3.31,59,9,17,6,4,5,13,0.43,7,1,3,1,1,0,Matches
1575,José Luis Palomino\921f6058,ar ARG,DF,Atalanta,it Serie A,31,1990,29.7,16,0.54,14,0,0,1,0,1,2,0.07,1,0,0,0,0,1,Matches
1576,Florentino Luís\881cd6be,pt POR,MF,Getafe,es La Liga,21,1999,11,16,1.45,14,0,0,0,0,2,1,0.09,1,0,0,0,0,0,Matches
1577,Luismi\acf5410c,es ESP,FW,Sevilla,es La Liga,20,2001,0.1,1,6.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1578,Douglas Luiz\6f7d826d,br BRA,MF,Aston Villa,eng Premier League,23,1998,30.2,75,2.49,46,19,1,3,6,0,8,0.27,3,2,0,2,1,0,Matches
1579,Romelu Lukaku\5eae500a,be BEL,FW,Chelsea,eng Premier League,28,1993,17.7,44,2.49,30,0,4,2,6,2,5,0.28,0,0,1,0,3,1,Matches
1580,Castello Lukeba\5b9512c5,fr FRA,DF,Lyon,fr Ligue 1,18,2002,23.3,9,0.39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1581,Dodi Lukebakio\0c61c77c,be BEL,FW,Hertha BSC,de Bundesliga,23,1997,2,2,1.02,0,0,0,0,2,0,1,0.51,0,0,0,0,1,0,Matches
1582,Dodi Lukebakio\0c61c77c,be BEL,FWMF,Wolfsburg,de Bundesliga,23,1997,9.8,29,2.96,16,0,9,1,3,0,7,0.71,5,0,2,0,0,0,Matches
1583,Saša Lukić\c6e8cf1f,rs SRB,MF,Torino,it Serie A,24,1996,33.1,75,2.26,52,10,3,2,5,3,8,0.24,5,0,1,0,0,2,Matches
1584,Levi Lumeka\199ff86e,eng ENG,DFFW,Troyes,fr Ligue 1,22,1998,0.7,1,1.34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
1585,Andriy Lunin\3061e1ec,ua UKR,GK,Real Madrid,es La Liga,22,1999,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1586,Andrey Lunyov\8a6ab963,ru RUS,GK,Leverkusen,de Bundesliga,29,1991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1587,Sebastiano Luperto\997fff07,it ITA,DF,Empoli,it Serie A,24,1996,21.8,16,0.74,14,1,0,0,0,1,2,0.09,2,0,0,0,0,0,Matches
1588,Andreas Luthe\7fe12375,de GER,GK,Union Berlin,de Bundesliga,34,1987,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1589,Lyanco\b5bf1770,br BRA,DF,Southampton,eng Premier League,24,1997,10.1,9,0.89,6,0,0,1,0,2,1,0.1,1,0,0,0,0,0,Matches
1590,Charalambos Lykogiannis\5efc5389,gr GRE,DF,Cagliari,it Serie A,27,1993,20.2,19,0.94,10,8,0,1,0,0,0,0,0,0,0,0,0,0,Matches
1591,Yannis M'Bemba\080de72a,fr FRA,DFFW,Nantes,fr Ligue 1,20,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1592,Alexis Mac Allister\83d074ff,ar ARG,MFFW,Brighton,eng Premier League,22,1998,23.6,66,2.8,46,9,1,2,4,4,4,0.17,1,2,0,1,0,0,Matches
